Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,outcome
b1_6,Assess_loan_risk,,2004-02-02 21:28:35,Variant 8,8,
b1_5,Prepare_acceptance_pack,,2004-02-02 21:29:59,Variant 8,8,
b1_7,Loan__application_received,,2004-02-02 21:30:00,Variant 2,2,
b1_6,Appraise_property,,2004-02-02 21:32:23,Variant 8,8,
b1_0,Prepare_acceptance_pack,,2004-02-02 21:33:09,Variant 38,38,
b1_7,Check__application__form_completeness,,2004-02-02 21:37:47,Variant 2,2,
b1_1,Prepare_acceptance_pack,,2004-02-02 21:38:42,Variant 7,7,
b1_7,Check_credit_history,,2004-02-02 21:48:32,Variant 2,2,
b1_0,Check_if_home_insurance_quote_is_requested,,2004-02-02 21:50:35,Variant 38,38,
b1_5,Check_if_home_insurance_quote_is_requested,,2004-02-02 21:52:24,Variant 8,8,
b1_3,Check_credit_history,,2004-02-02 21:57:41,Variant 1,1,
b1_8,Loan__application_received,,2004-02-02 22:00:00,Variant 3,3,
b1_1,Check_if_home_insurance_quote_is_requested,,2004-02-02 22:07:00,Variant 7,7,
b1_4,Check__application__form_completeness,,2004-02-02 22:12:38,Variant 36,36,
b1_1,Send_acceptance_pack,,2004-02-02 22:17:30,Variant 7,7,
b1_2,Prepare_acceptance_pack,,2004-02-02 22:19:34,Variant 4,4,
b1_4,Check_credit_history,,2004-02-02 22:19:46,Variant 36,36,
b1_8,Check__application__form_completeness,,2004-02-02 22:24:58,Variant 3,3,
b1_9,Loan__application_received,,2004-02-02 22:30:00,Variant 11,11,
b1_2,Check_if_home_insurance_quote_is_requested,,2004-02-02 22:30:36,Variant 4,4,
b1_9,Check__application__form_completeness,,2004-02-02 22:31:09,Variant 11,11,
b1_4,Assess_loan_risk,,2004-02-02 22:31:13,Variant 36,36,
b1_0,Send_home_insurance_quote,,2004-02-02 22:31:50,Variant 38,38,
b1_8,Check_credit_history,,2004-02-02 22:34:35,Variant 3,3,
b1_0,Verify_repayment_agreement,,2004-02-02 22:37:09,Variant 38,38,
b1_3,Assess_loan_risk,,2004-02-02 22:39:53,Variant 1,1,
b1_7,Appraise_property,,2004-02-02 22:41:52,Variant 2,2,
b1_9,Appraise_property,,2004-02-02 22:41:55,Variant 11,11,
b1_4,Appraise_property,,2004-02-02 22:49:57,Variant 36,36,
b1_7,Assess_loan_risk,,2004-02-02 22:52:12,Variant 2,2,
b1_9,Check_credit_history,,2004-02-02 22:56:12,Variant 11,11,
b1_0,Loan__application_approved,,2004-02-02 22:57:13,Variant 38,38,True
b1_0,Approve_application,,2004-02-02 22:57:13,Variant 38,38,True
b1_6,Assess_eligibility,,2004-02-02 22:57:19,Variant 8,8,
b1_10,Loan__application_received,,2004-02-02 23:00:00,Variant 2,2,
b1_9,Assess_loan_risk,,2004-02-02 23:02:10,Variant 11,11,
b1_3,Assess_eligibility,,2004-02-02 23:05:21,Variant 1,1,
b1_8,Assess_loan_risk,,2004-02-02 23:05:39,Variant 3,3,
b1_1,Verify_repayment_agreement,,2004-02-02 23:09:23,Variant 7,7,
b1_4,Assess_eligibility,,2004-02-02 23:13:09,Variant 36,36,
b1_10,Check__application__form_completeness,,2004-02-02 23:16:19,Variant 2,2,
b1_2,Send_acceptance_pack,,2004-02-02 23:20:16,Variant 4,4,
b1_2,Verify_repayment_agreement,,2004-02-02 23:22:23,Variant 4,4,
b1_9,Assess_eligibility,,2004-02-02 23:24:26,Variant 11,11,
b1_6,Prepare_acceptance_pack,,2004-02-02 23:24:34,Variant 8,8,
b1_7,Assess_eligibility,,2004-02-02 23:25:11,Variant 2,2,
b1_4,Prepare_acceptance_pack,,2004-02-02 23:27:23,Variant 36,36,
b1_9,Prepare_acceptance_pack,,2004-02-02 23:28:20,Variant 11,11,
b1_11,Loan__application_received,,2004-02-02 23:30:00,Variant 7,7,
b1_4,Check_if_home_insurance_quote_is_requested,,2004-02-02 23:33:37,Variant 36,36,
b1_3,Loan_application_rejected,,2004-02-02 23:34:45,Variant 1,1,False
b1_3,Reject_application,,2004-02-02 23:34:45,Variant 1,1,
b1_1,Loan__application_approved,,2004-02-02 23:47:18,Variant 7,7,True
b1_1,Approve_application,,2004-02-02 23:47:18,Variant 7,7,True
b1_4,Send_acceptance_pack,,2004-02-02 23:47:31,Variant 36,36,
b1_11,Check__application__form_completeness,,2004-02-02 23:51:41,Variant 7,7,
b1_11,Appraise_property,,2004-02-02 23:55:57,Variant 7,7,
b1_12,Loan__application_received,,2004-02-03 00:00:00,Variant 8,8,
b1_9,Check_if_home_insurance_quote_is_requested,,2004-02-03 00:08:40,Variant 11,11,
b1_4,Verify_repayment_agreement,,2004-02-03 00:09:49,Variant 36,36,
b1_9,Send_home_insurance_quote,,2004-02-03 00:10:42,Variant 11,11,
b1_7,Reject_application,,2004-02-03 00:11:10,Variant 2,2,
b1_7,Loan_application_rejected,,2004-02-03 00:11:10,Variant 2,2,False
b1_12,Check__application__form_completeness,,2004-02-03 00:13:41,Variant 8,8,
b1_12,Check_credit_history,,2004-02-03 00:16:23,Variant 8,8,
b1_10,Check_credit_history,,2004-02-03 00:19:01,Variant 2,2,
b1_11,Check_credit_history,,2004-02-03 00:19:19,Variant 7,7,
b1_4,Loan__application_canceled,,2004-02-03 00:22:03,Variant 36,36,
b1_4,Cancel_application,,2004-02-03 00:22:03,Variant 36,36,False
b1_2,Cancel_application,,2004-02-03 00:22:47,Variant 4,4,
b1_2,Loan__application_canceled,,2004-02-03 00:22:47,Variant 4,4,False
b1_10,Appraise_property,,2004-02-03 00:24:32,Variant 2,2,
b1_12,Assess_loan_risk,,2004-02-03 00:25:12,Variant 8,8,
b1_13,Loan__application_received,,2004-02-03 00:30:00,Variant 32,32,
b1_11,Assess_loan_risk,,2004-02-03 00:30:48,Variant 7,7,
b1_6,Check_if_home_insurance_quote_is_requested,,2004-02-03 00:35:33,Variant 8,8,
b1_13,Check__application__form_completeness,,2004-02-03 00:35:48,Variant 32,32,
b1_9,Verify_repayment_agreement,,2004-02-03 00:38:49,Variant 11,11,
b1_12,Appraise_property,,2004-02-03 00:38:51,Variant 8,8,
b1_12,Assess_eligibility,,2004-02-03 00:42:38,Variant 8,8,
b1_9,Approve_application,,2004-02-03 00:46:18,Variant 11,11,True
b1_9,Loan__application_approved,,2004-02-03 00:46:18,Variant 11,11,True
b1_5,Send_home_insurance_quote,,2004-02-03 00:48:38,Variant 8,8,
b1_14,Loan__application_received,,2004-02-03 01:00:00,Variant 32,32,
b1_5,Verify_repayment_agreement,,2004-02-03 01:02:13,Variant 8,8,
b1_12,Prepare_acceptance_pack,,2004-02-03 01:03:52,Variant 8,8,
b1_13,Return_application_back_to_applicant,,2004-02-03 01:06:12,Variant 32,32,
b1_10,Assess_loan_risk,,2004-02-03 01:15:13,Variant 2,2,
b1_14,Check__application__form_completeness,,2004-02-03 01:15:30,Variant 32,32,
b1_5,Loan__application_canceled,,2004-02-03 01:29:09,Variant 8,8,
b1_5,Cancel_application,,2004-02-03 01:29:09,Variant 8,8,False
b1_15,Loan__application_received,,2004-02-03 01:30:00,Variant 7,7,
b1_15,Check__application__form_completeness,,2004-02-03 01:37:01,Variant 7,7,
b1_13,Receive_updated_application,,2004-02-03 01:39:07,Variant 32,32,
b1_12,Check_if_home_insurance_quote_is_requested,,2004-02-03 01:42:27,Variant 8,8,
b1_13,Check__application__form_completeness,,2004-02-03 01:49:07,Variant 32,32,
b1_11,Assess_eligibility,,2004-02-03 01:50:05,Variant 7,7,
b1_11,Prepare_acceptance_pack,,2004-02-03 01:52:15,Variant 7,7,
b1_8,Appraise_property,,2004-02-03 01:54:01,Variant 3,3,
b1_6,Send_home_insurance_quote,,2004-02-03 01:59:01,Variant 8,8,
b1_16,Loan__application_received,,2004-02-03 02:00:00,Variant 8,8,
b1_10,Assess_eligibility,,2004-02-03 18:01:56,Variant 2,2,
b1_11,Check_if_home_insurance_quote_is_requested,,2004-02-03 18:03:24,Variant 7,7,
b1_12,Send_home_insurance_quote,,2004-02-03 18:04:03,Variant 8,8,
b1_15,Appraise_property,,2004-02-03 18:10:44,Variant 7,7,
b1_16,Check__application__form_completeness,,2004-02-03 18:13:27,Variant 8,8,
b1_8,Assess_eligibility,,2004-02-03 18:15:34,Variant 3,3,
b1_12,Verify_repayment_agreement,,2004-02-03 18:21:40,Variant 8,8,
b1_16,Check_credit_history,,2004-02-03 18:21:52,Variant 8,8,
b1_10,Loan_application_rejected,,2004-02-03 18:24:02,Variant 2,2,False
b1_10,Reject_application,,2004-02-03 18:24:02,Variant 2,2,
b1_13,Return_application_back_to_applicant,,2004-02-03 18:25:44,Variant 32,32,
b1_12,Cancel_application,,2004-02-03 18:26:42,Variant 8,8,False
b1_12,Loan__application_canceled,,2004-02-03 18:26:42,Variant 8,8,
b1_17,Loan__application_received,,2004-02-03 18:30:00,Variant 38,38,
b1_17,Check__application__form_completeness,,2004-02-03 18:31:37,Variant 38,38,
b1_14,Return_application_back_to_applicant,,2004-02-03 18:36:47,Variant 32,32,
b1_16,Assess_loan_risk,,2004-02-03 18:39:10,Variant 8,8,
b1_11,Send_acceptance_pack,,2004-02-03 18:56:04,Variant 7,7,
b1_13,Receive_updated_application,,2004-02-03 18:58:56,Variant 32,32,
b1_18,Loan__application_received,,2004-02-03 19:00:00,Variant 3,3,
b1_8,Reject_application,,2004-02-03 19:00:01,Variant 3,3,
b1_8,Loan_application_rejected,,2004-02-03 19:00:01,Variant 3,3,False
b1_18,Check__application__form_completeness,,2004-02-03 19:03:19,Variant 3,3,
b1_18,Check_credit_history,,2004-02-03 19:05:30,Variant 3,3,
b1_11,Verify_repayment_agreement,,2004-02-03 19:05:34,Variant 7,7,
b1_15,Check_credit_history,,2004-02-03 19:05:59,Variant 7,7,
b1_6,Verify_repayment_agreement,,2004-02-03 19:09:14,Variant 8,8,
b1_15,Assess_loan_risk,,2004-02-03 19:13:21,Variant 7,7,
b1_19,Loan__application_received,,2004-02-03 19:30:00,Variant 4,4,
b1_18,Assess_loan_risk,,2004-02-03 19:30:37,Variant 3,3,
b1_13,Check__application__form_completeness,,2004-02-03 19:32:31,Variant 32,32,
b1_19,Check__application__form_completeness,,2004-02-03 19:33:46,Variant 4,4,
b1_18,Appraise_property,,2004-02-03 19:34:02,Variant 3,3,
b1_19,Appraise_property,,2004-02-03 19:35:01,Variant 4,4,
b1_6,Cancel_application,,2004-02-03 19:37:59,Variant 8,8,False
b1_6,Loan__application_canceled,,2004-02-03 19:37:59,Variant 8,8,
b1_11,Loan__application_approved,,2004-02-03 19:39:18,Variant 7,7,True
b1_11,Approve_application,,2004-02-03 19:39:18,Variant 7,7,True
b1_17,Return_application_back_to_applicant,,2004-02-03 19:44:52,Variant 38,38,
b1_16,Appraise_property,,2004-02-03 19:56:30,Variant 8,8,
b1_13,Appraise_property,,2004-02-03 19:56:40,Variant 32,32,
b1_20,Loan__application_received,,2004-02-03 20:00:00,Variant 1,1,
b1_14,Receive_updated_application,,2004-02-03 20:01:05,Variant 32,32,
b1_13,Check_credit_history,,2004-02-03 20:08:17,Variant 32,32,
b1_15,Assess_eligibility,,2004-02-03 20:10:06,Variant 7,7,
b1_19,Check_credit_history,,2004-02-03 20:12:31,Variant 4,4,
b1_17,Receive_updated_application,,2004-02-03 20:19:14,Variant 38,38,
b1_20,Check__application__form_completeness,,2004-02-03 20:20:05,Variant 1,1,
b1_19,Assess_loan_risk,,2004-02-03 20:23:07,Variant 4,4,
b1_20,Appraise_property,,2004-02-03 20:24:48,Variant 1,1,
b1_18,Assess_eligibility,,2004-02-03 20:24:48,Variant 3,3,
b1_20,Check_credit_history,,2004-02-03 20:29:23,Variant 1,1,
b1_21,Loan__application_received,,2004-02-03 20:30:00,Variant 80,80,
b1_15,Prepare_acceptance_pack,,2004-02-03 20:31:09,Variant 7,7,
b1_21,Check__application__form_completeness,,2004-02-03 20:36:24,Variant 80,80,
b1_13,Assess_loan_risk,,2004-02-03 20:37:52,Variant 32,32,
b1_16,Assess_eligibility,,2004-02-03 20:44:15,Variant 8,8,
b1_13,Assess_eligibility,,2004-02-03 20:44:50,Variant 32,32,
b1_19,Assess_eligibility,,2004-02-03 20:45:57,Variant 4,4,
b1_14,Check__application__form_completeness,,2004-02-03 20:51:54,Variant 32,32,
b1_22,Loan__application_received,,2004-02-03 21:00:00,Variant 17,17,
b1_22,Check__application__form_completeness,,2004-02-03 21:08:39,Variant 17,17,
b1_16,Prepare_acceptance_pack,,2004-02-03 21:09:54,Variant 8,8,
b1_20,Assess_loan_risk,,2004-02-03 21:12:05,Variant 1,1,
b1_14,Return_application_back_to_applicant,,2004-02-03 21:15:10,Variant 32,32,
b1_21,Return_application_back_to_applicant,,2004-02-03 21:15:20,Variant 80,80,
b1_20,Assess_eligibility,,2004-02-03 21:15:31,Variant 1,1,
b1_19,Prepare_acceptance_pack,,2004-02-03 21:19:11,Variant 4,4,
b1_16,Check_if_home_insurance_quote_is_requested,,2004-02-03 21:26:39,Variant 8,8,
b1_20,Reject_application,,2004-02-03 21:27:51,Variant 1,1,False
b1_20,Loan_application_rejected,,2004-02-03 21:27:51,Variant 1,1,
b1_21,Receive_updated_application,,2004-02-03 21:29:38,Variant 80,80,
b1_23,Loan__application_received,,2004-02-03 21:30:00,Variant 7,7,
b1_22,Check_credit_history,,2004-02-03 21:35:44,Variant 17,17,
b1_21,Check__application__form_completeness,,2004-02-03 21:40:09,Variant 80,80,
b1_21,Return_application_back_to_applicant,,2004-02-03 21:43:14,Variant 80,80,
b1_14,Receive_updated_application,,2004-02-03 21:44:08,Variant 32,32,
b1_19,Check_if_home_insurance_quote_is_requested,,2004-02-03 21:44:32,Variant 4,4,
b1_14,Check__application__form_completeness,,2004-02-03 21:45:58,Variant 32,32,
b1_22,Assess_loan_risk,,2004-02-03 21:46:53,Variant 17,17,
b1_18,Reject_application,,2004-02-03 21:47:27,Variant 3,3,
b1_18,Loan_application_rejected,,2004-02-03 21:47:27,Variant 3,3,False
b1_14,Appraise_property,,2004-02-03 21:50:22,Variant 32,32,
b1_14,Check_credit_history,,2004-02-03 21:52:47,Variant 32,32,
b1_17,Check__application__form_completeness,,2004-02-03 21:54:06,Variant 38,38,
b1_23,Check__application__form_completeness,,2004-02-03 21:56:35,Variant 7,7,
b1_24,Loan__application_received,,2004-02-03 22:00:00,Variant 26,26,
b1_13,Reject_application,,2004-02-03 22:00:10,Variant 32,32,False
b1_13,Loan_application_rejected,,2004-02-03 22:00:10,Variant 32,32,
b1_24,Check__application__form_completeness,,2004-02-03 22:03:08,Variant 26,26,
b1_17,Check_credit_history,,2004-02-03 22:08:02,Variant 38,38,
b1_19,Send_acceptance_pack,,2004-02-03 22:08:29,Variant 4,4,
b1_22,Appraise_property,,2004-02-03 22:11:15,Variant 17,17,
b1_19,Verify_repayment_agreement,,2004-02-03 22:12:01,Variant 4,4,
b1_22,Assess_eligibility,,2004-02-03 22:19:54,Variant 17,17,
b1_14,Assess_loan_risk,,2004-02-03 22:21:50,Variant 32,32,
b1_19,Loan__application_canceled,,2004-02-03 22:22:32,Variant 4,4,
b1_19,Cancel_application,,2004-02-03 22:22:32,Variant 4,4,False
b1_16,Send_home_insurance_quote,,2004-02-03 22:23:48,Variant 8,8,
b1_22,Prepare_acceptance_pack,,2004-02-03 22:24:56,Variant 17,17,
b1_14,Assess_eligibility,,2004-02-03 22:25:02,Variant 32,32,
b1_25,Loan__application_received,,2004-02-03 22:30:00,Variant 4,4,
b1_23,Appraise_property,,2004-02-03 22:30:44,Variant 7,7,
b1_16,Verify_repayment_agreement,,2004-02-03 22:35:56,Variant 8,8,
b1_23,Check_credit_history,,2004-02-03 22:36:54,Variant 7,7,
b1_23,Assess_loan_risk,,2004-02-03 22:40:30,Variant 7,7,
b1_17,Appraise_property,,2004-02-03 22:44:24,Variant 38,38,
b1_14,Reject_application,,2004-02-03 22:45:01,Variant 32,32,False
b1_14,Loan_application_rejected,,2004-02-03 22:45:01,Variant 32,32,
b1_23,Assess_eligibility,,2004-02-03 22:46:03,Variant 7,7,
b1_23,Prepare_acceptance_pack,,2004-02-03 22:52:16,Variant 7,7,
b1_21,Receive_updated_application,,2004-02-03 22:58:33,Variant 80,80,
b1_26,Loan__application_received,,2004-02-03 23:00:00,Variant 11,11,
b1_17,Assess_loan_risk,,2004-02-03 23:07:11,Variant 38,38,
b1_22,Check_if_home_insurance_quote_is_requested,,2004-02-03 23:08:01,Variant 17,17,
b1_17,Assess_eligibility,,2004-02-03 23:10:32,Variant 38,38,
b1_26,Check__application__form_completeness,,2004-02-03 23:13:08,Variant 11,11,
b1_17,Prepare_acceptance_pack,,2004-02-03 23:19:59,Variant 38,38,
b1_17,Check_if_home_insurance_quote_is_requested,,2004-02-03 23:26:46,Variant 38,38,
b1_27,Loan__application_received,,2004-02-03 23:30:00,Variant 5,5,
b1_17,Send_home_insurance_quote,,2004-02-03 23:32:41,Variant 38,38,
b1_21,Check__application__form_completeness,,2004-02-03 23:32:49,Variant 80,80,
b1_21,Check_credit_history,,2004-02-03 23:33:04,Variant 80,80,
b1_24,Return_application_back_to_applicant,,2004-02-03 23:38:36,Variant 26,26,
b1_26,Appraise_property,,2004-02-03 23:40:10,Variant 11,11,
b1_25,Check__application__form_completeness,,2004-02-03 23:41:06,Variant 4,4,
b1_17,Verify_repayment_agreement,,2004-02-03 23:42:28,Variant 38,38,
b1_21,Appraise_property,,2004-02-03 23:42:44,Variant 80,80,
b1_16,Loan__application_canceled,,2004-02-03 23:43:19,Variant 8,8,
b1_16,Cancel_application,,2004-02-03 23:43:19,Variant 8,8,False
b1_24,Receive_updated_application,,2004-02-03 23:44:41,Variant 26,26,
b1_21,Assess_loan_risk,,2004-02-03 23:45:38,Variant 80,80,
b1_17,Loan__application_approved,,2004-02-03 23:46:33,Variant 38,38,
b1_17,Approve_application,,2004-02-03 23:46:33,Variant 38,38,True
b1_21,Assess_eligibility,,2004-02-03 23:49:39,Variant 80,80,
b1_24,Check__application__form_completeness,,2004-02-03 23:50:33,Variant 26,26,
b1_15,Check_if_home_insurance_quote_is_requested,,2004-02-03 23:58:16,Variant 7,7,
b1_27,Check__application__form_completeness,,2004-02-03 23:58:50,Variant 5,5,
b1_25,Appraise_property,,2004-02-03 23:59:49,Variant 4,4,
b1_28,Loan__application_received,,2004-02-04 00:00:00,Variant 1,1,
b1_22,Send_acceptance_pack,,2004-02-04 00:02:33,Variant 17,17,
b1_27,Appraise_property,,2004-02-04 00:05:26,Variant 5,5,
b1_24,Appraise_property,,2004-02-04 00:13:11,Variant 26,26,
b1_25,Check_credit_history,,2004-02-04 00:17:01,Variant 4,4,
b1_15,Send_acceptance_pack,,2004-02-04 00:19:44,Variant 7,7,
b1_24,Check_credit_history,,2004-02-04 00:20:06,Variant 26,26,
b1_22,Verify_repayment_agreement,,2004-02-04 00:23:32,Variant 17,17,
b1_27,Check_credit_history,,2004-02-04 00:26:49,Variant 5,5,
b1_23,Check_if_home_insurance_quote_is_requested,,2004-02-04 00:28:41,Variant 7,7,
b1_29,Loan__application_received,,2004-02-04 00:30:00,Variant 9,9,
b1_29,Check__application__form_completeness,,2004-02-04 00:35:00,Variant 9,9,
b1_23,Send_acceptance_pack,,2004-02-04 00:35:35,Variant 7,7,
b1_21,Prepare_acceptance_pack,,2004-02-04 00:40:02,Variant 80,80,
b1_15,Verify_repayment_agreement,,2004-02-04 00:41:54,Variant 7,7,
b1_22,Approve_application,,2004-02-04 00:43:56,Variant 17,17,True
b1_22,Loan__application_approved,,2004-02-04 00:43:56,Variant 17,17,True
b1_25,Assess_loan_risk,,2004-02-04 00:44:15,Variant 4,4,
b1_29,Check_credit_history,,2004-02-04 00:44:19,Variant 9,9,
b1_21,Check_if_home_insurance_quote_is_requested,,2004-02-04 00:46:51,Variant 80,80,
b1_15,Loan__application_approved,,2004-02-04 00:47:38,Variant 7,7,True
b1_15,Approve_application,,2004-02-04 00:47:38,Variant 7,7,True
b1_24,Assess_loan_risk,,2004-02-04 00:48:23,Variant 26,26,
b1_26,Check_credit_history,,2004-02-04 00:48:56,Variant 11,11,
b1_30,Loan__application_received,,2004-02-04 01:00:00,Variant 4,4,
b1_27,Assess_loan_risk,,2004-02-04 01:02:24,Variant 5,5,
b1_26,Assess_loan_risk,,2004-02-04 01:06:17,Variant 11,11,
b1_24,Assess_eligibility,,2004-02-04 01:06:25,Variant 26,26,
b1_30,Check__application__form_completeness,,2004-02-04 01:08:18,Variant 4,4,
b1_25,Assess_eligibility,,2004-02-04 01:09:34,Variant 4,4,
b1_26,Assess_eligibility,,2004-02-04 01:11:50,Variant 11,11,
b1_26,Prepare_acceptance_pack,,2004-02-04 01:13:03,Variant 11,11,
b1_27,Assess_eligibility,,2004-02-04 01:17:47,Variant 5,5,
b1_30,Appraise_property,,2004-02-04 01:21:01,Variant 4,4,
b1_25,Prepare_acceptance_pack,,2004-02-04 01:21:03,Variant 4,4,
b1_23,Verify_repayment_agreement,,2004-02-04 01:23:32,Variant 7,7,
b1_26,Check_if_home_insurance_quote_is_requested,,2004-02-04 01:26:23,Variant 11,11,
b1_27,Prepare_acceptance_pack,,2004-02-04 01:26:26,Variant 5,5,
b1_31,Loan__application_received,,2004-02-04 01:30:00,Variant 1,1,
b1_23,Loan__application_approved,,2004-02-04 01:32:54,Variant 7,7,
b1_23,Approve_application,,2004-02-04 01:32:54,Variant 7,7,True
b1_27,Check_if_home_insurance_quote_is_requested,,2004-02-04 01:36:06,Variant 5,5,
b1_30,Check_credit_history,,2004-02-04 01:41:15,Variant 4,4,
b1_29,Assess_loan_risk,,2004-02-04 01:42:12,Variant 9,9,
b1_27,Send_home_insurance_quote,,2004-02-04 01:44:30,Variant 5,5,
b1_30,Assess_loan_risk,,2004-02-04 01:46:11,Variant 4,4,
b1_28,Check__application__form_completeness,,2004-02-04 01:49:36,Variant 1,1,
b1_28,Appraise_property,,2004-02-04 01:57:21,Variant 1,1,
b1_32,Loan__application_received,,2004-02-04 02:00:00,Variant 4,4,
b1_32,Check__application__form_completeness,,2004-02-04 18:23:07,Variant 4,4,
b1_25,Check_if_home_insurance_quote_is_requested,,2004-02-04 18:24:33,Variant 4,4,
b1_27,Verify_repayment_agreement,,2004-02-04 18:24:42,Variant 5,5,
b1_29,Appraise_property,,2004-02-04 18:26:03,Variant 9,9,
b1_33,Loan__application_received,,2004-02-04 18:30:00,Variant 2,2,
b1_33,Check__application__form_completeness,,2004-02-04 18:33:22,Variant 2,2,
b1_30,Assess_eligibility,,2004-02-04 18:35:06,Variant 4,4,
b1_24,Prepare_acceptance_pack,,2004-02-04 18:37:07,Variant 26,26,
b1_29,Assess_eligibility,,2004-02-04 18:37:45,Variant 9,9,
b1_26,Send_home_insurance_quote,,2004-02-04 18:42:16,Variant 11,11,
b1_29,Prepare_acceptance_pack,,2004-02-04 18:42:17,Variant 9,9,
b1_32,Appraise_property,,2004-02-04 18:45:09,Variant 4,4,
b1_33,Check_credit_history,,2004-02-04 18:45:40,Variant 2,2,
b1_29,Check_if_home_insurance_quote_is_requested,,2004-02-04 18:46:51,Variant 9,9,
b1_21,Send_home_insurance_quote,,2004-02-04 18:51:25,Variant 80,80,
b1_27,Loan__application_canceled,,2004-02-04 18:53:59,Variant 5,5,False
b1_27,Cancel_application,,2004-02-04 18:53:59,Variant 5,5,
b1_34,Loan__application_received,,2004-02-04 19:00:00,Variant 7,7,
b1_30,Prepare_acceptance_pack,,2004-02-04 19:02:34,Variant 4,4,
b1_31,Check__application__form_completeness,,2004-02-04 19:03:52,Variant 1,1,
b1_34,Check__application__form_completeness,,2004-02-04 19:05:28,Variant 7,7,
b1_26,Verify_repayment_agreement,,2004-02-04 19:06:12,Variant 11,11,
b1_34,Appraise_property,,2004-02-04 19:07:10,Variant 7,7,
b1_29,Send_acceptance_pack,,2004-02-04 19:11:36,Variant 9,9,
b1_33,Appraise_property,,2004-02-04 19:14:22,Variant 2,2,
b1_34,Check_credit_history,,2004-02-04 19:14:29,Variant 7,7,
b1_33,Assess_loan_risk,,2004-02-04 19:15:16,Variant 2,2,
b1_33,Assess_eligibility,,2004-02-04 19:18:46,Variant 2,2,
b1_32,Check_credit_history,,2004-02-04 19:18:56,Variant 4,4,
b1_26,Loan__application_approved,,2004-02-04 19:25:34,Variant 11,11,True
b1_26,Approve_application,,2004-02-04 19:25:34,Variant 11,11,True
b1_32,Assess_loan_risk,,2004-02-04 19:25:39,Variant 4,4,
b1_31,Appraise_property,,2004-02-04 19:25:43,Variant 1,1,
b1_33,Reject_application,,2004-02-04 19:26:01,Variant 2,2,False
b1_33,Loan_application_rejected,,2004-02-04 19:26:01,Variant 2,2,
b1_29,Verify_repayment_agreement,,2004-02-04 19:29:32,Variant 9,9,
b1_35,Loan__application_received,,2004-02-04 19:30:00,Variant 5,5,
b1_34,Assess_loan_risk,,2004-02-04 19:30:10,Variant 7,7,
b1_29,Loan__application_canceled,,2004-02-04 19:31:21,Variant 9,9,False
