caseid,activity,resource,ts,outcome
2832460,forward to the competent authority,560912,2010-11-02 22:03:52,
2832460,regular procedure without MER,560912,2010-11-02 22:03:57,
2832460,send procedure confirmation,560912,2010-11-02 22:06:24,
2832460,registrer date of publishing received request,560912,2010-11-02 22:06:43,
2831567,registrer date of publishing received request,560912,2010-11-02 22:30:17,
2830183,phase application received,560925,2010-11-02 22:41:01,
2830183,reception through OLO,560925,2010-11-02 22:41:08,
2830183,forward to the competent authority,560925,2010-11-02 22:41:14,
2830183,regular procedure without MER,560925,2010-11-02 22:41:19,
2830183,send procedure confirmation,560925,2010-11-02 22:46:26,
2833073,phase application received,560912,2010-11-02 22:47:11,
2833073,reception through OLO,560912,2010-11-02 22:47:21,
2833073,forward to the competent authority,560912,2010-11-02 22:47:27,
2833073,regular procedure without MER,560912,2010-11-02 22:47:36,
2833073,send procedure confirmation,560912,2010-11-02 22:50:28,
2833073,registrer date of publishing received request,560912,2010-11-02 22:55:26,
2830183,registrer date of publishing received request,560925,2010-11-02 23:05:29,
2797217,enter date publication decision environmental permit,560872,2010-11-03 08:00:00,
2814003,registrer date of publishing received request,560912,2010-11-03 08:00:00,
2847199,register submission date request,560872,2010-11-03 08:00:00,
2846764,register submission date request,560872,2010-11-03 08:00:00,
2840553,enter senddate procedure confirmation,560925,2010-11-04 08:00:00,
2848063,register submission date request,560872,2010-11-04 08:00:00,
2851738,register submission date request,560912,2010-11-04 08:00:00,
2840219,enter senddate procedure confirmation,560925,2010-11-04 08:00:00,
2852274,register submission date request,560912,2010-11-04 08:00:00,
2817543,enter senddate procedure confirmation,560950,2010-11-04 08:00:00,
2839858,enter senddate procedure confirmation,560925,2010-11-04 08:00:00,
2838476,enter senddate procedure confirmation,560925,2010-11-04 08:00:00,
2838476,phase application received,560925,2010-11-04 20:17:57,
2838476,reception through OLO,560925,2010-11-04 20:18:04,
2838476,forward to the competent authority,560925,2010-11-04 20:18:12,
2838476,regular procedure without MER,560925,2010-11-04 20:18:18,
2838476,send procedure confirmation,560925,2010-11-04 20:24:25,
2839858,phase application received,560925,2010-11-04 23:04:34,
2839858,reception through OLO,560925,2010-11-04 23:04:49,
2839858,forward to the competent authority,560925,2010-11-04 23:08:21,
2839858,regular procedure without MER,560925,2010-11-04 23:08:26,
2839858,send procedure confirmation,560925,2010-11-04 23:12:35,
2839858,applicant is stakeholder,560925,2010-11-04 23:20:58,
2839858,terminate on request,560925,2010-11-04 23:21:17,
2839858,WAW permit aspect,560925,2010-11-04 23:21:29,
2839858,treat subcases completeness,560925,2010-11-04 23:21:37,
2839858,registrer date of publishing received request,560925,2010-11-04 23:21:55,
2838476,registrer date of publishing received request,560925,2010-11-04 23:23:47,
2838476,WAW permit aspect,560925,2010-11-04 23:24:21,
2838476,applicant is stakeholder,560925,2010-11-04 23:24:28,
2838476,treat subcases completeness,560925,2010-11-04 23:26:31,
2840219,phase application received,560925,2010-11-04 23:46:53,
2840219,reception through OLO,560925,2010-11-04 23:46:59,
2840219,forward to the competent authority,560925,2010-11-04 23:47:03,
2840219,regular procedure without MER,560925,2010-11-04 23:47:06,
2840219,send procedure confirmation,560925,2010-11-04 23:54:36,
2840219,registrer date of publishing received request,560925,2010-11-05 00:13:22,
2840219,WAW permit aspect,560925,2010-11-05 00:13:36,
2840219,applicant is stakeholder,560925,2010-11-05 00:13:41,
2840553,phase application received,560925,2010-11-05 00:17:29,
2840553,reception through OLO,560925,2010-11-05 00:17:45,
2840553,forward to the competent authority,560925,2010-11-05 00:17:51,
2840553,regular procedure without MER,560925,2010-11-05 00:17:55,
2840553,send procedure confirmation,560925,2010-11-05 00:19:51,
2840553,WAW permit aspect,560925,2010-11-05 00:22:28,
2840553,applicant is stakeholder,560925,2010-11-05 00:22:44,
2840553,registrer date of publishing received request,560925,2010-11-05 00:22:50,
2854000,register submission date request,560912,2010-11-05 08:00:00,
2846764,enter senddate procedure confirmation,560872,2010-11-08 08:00:00,
2848063,enter senddate procedure confirmation,560872,2010-11-08 08:00:00,
2847603,enter senddate procedure confirmation,560912,2010-11-08 08:00:00,
2847199,enter senddate procedure confirmation,560872,2010-11-08 08:00:00,
2847199,enter senddate procedure confirmation,560872,2010-11-08 08:00:00,
2814003,phase application received,560912,2010-11-08 19:24:43,
2814003,reception through OLO,560912,2010-11-08 19:24:48,
2814003,forward to the competent authority,560912,2010-11-08 19:24:53,
2814003,regular procedure without MER,560912,2010-11-08 19:24:58,
2814003,send procedure confirmation,560912,2010-11-08 19:25:02,
2814003,extend procedure term,560912,2010-11-08 19:25:17,
2814003,registrer date of publishing received request,560912,2010-11-08 19:26:31,
2814003,treat subcases completeness,560912,2010-11-08 19:27:03,
2814003,WAW permit aspect,560912,2010-11-08 19:27:15,
2814003,applicant is stakeholder,560912,2010-11-08 19:27:27,
2814003,terminate on request,560912,2010-11-08 19:27:35,
2814003,subcases completeness completed,560912,2010-11-08 19:27:42,
2814003,activities regular procedure,560912,2010-11-08 19:27:52,
2814003,regular procedure applies,560912,2010-11-08 19:28:06,
2814003,request complete,560912,2010-11-08 19:29:02,
2814003,phase application receptive,560912,2010-11-08 19:29:02,
2814003,WAW permit aspect,560912,2010-11-08 19:29:11,
2814003,treat subcases content,560912,2010-11-08 19:29:43,
2814003,completed subcases content,560912,2010-11-08 19:29:45,
2814003,article 34  WABO applies,560912,2010-11-08 19:29:53,
2814003,assessment of content completed,560912,2010-11-08 19:29:57,
2814003,phase advice known,560912,2010-11-08 19:29:57,
2814003,grounds for refusal,560912,2010-11-08 19:30:03,
2814003,ask stakeholders views,560912,2010-11-08 19:30:20,
2814003,suspension ground applicable,560912,2010-11-08 19:30:26,
2814003,by law,560912,2010-11-08 19:30:31,
2814003,creating environmental permit decision,560912,2010-11-08 19:30:32,
2814003,generating decision environmental permit,560912,2010-11-08 19:30:42,
2814003,register objection and appeal periods,560912,2010-11-08 19:31:21,
2814003,transcript decision environmental permit to stakeholders,560912,2010-11-08 19:31:30,
2814003,generate publication document decision environmental permit,560912,2010-11-08 19:34:50,
2846764,phase application received,560872,2010-11-08 21:12:23,
2846764,reception through OLO,560872,2010-11-08 21:12:26,
2846764,forward to the competent authority,560872,2010-11-08 21:12:31,
2846764,regular procedure without MER,560872,2010-11-08 21:12:39,
2846764,send procedure confirmation,560872,2010-11-08 21:12:42,
2846764,registrer date of publishing received request,560872,2010-11-08 21:22:48,
2846764,extend procedure term,560872,2010-11-08 21:23:06,
2846764,terminate on request,560872,2010-11-08 21:23:14,
2846764,applicant is stakeholder,560872,2010-11-08 21:23:19,
2846764,WAW permit aspect,560872,2010-11-08 21:23:24,
2846764,treat subcases completeness,560872,2010-11-08 21:23:33,
2847199,phase application received,560872,2010-11-08 22:57:21,
2847199,reception through OLO,560872,2010-11-08 22:57:25,
2847199,forward to the competent authority,560872,2010-11-08 22:57:29,
2847199,regular procedure without MER,560872,2010-11-08 22:57:34,
2847199,send procedure confirmation,560872,2010-11-08 23:02:51,
2847199,extend procedure term,560872,2010-11-08 23:03:00,
2847199,registrer date of publishing received request,560872,2010-11-08 23:12:36,
2847199,treat subcases completeness,560872,2010-11-08 23:12:57,
2847199,subcases completeness completed,560872,2010-11-08 23:13:00,
2847199,applicant is stakeholder,560872,2010-11-08 23:13:09,
2847199,WAW permit aspect,560872,2010-11-08 23:13:15,
2847199,terminate on request,560872,2010-11-08 23:13:23,
2847199,activities regular procedure,560872,2010-11-08 23:13:50,
2847199,regular procedure applies,560872,2010-11-08 23:13:54,
2847603,phase application received,560912,2010-11-08 23:54:42,
2847603,reception through OLO,560912,2010-11-08 23:54:48,
2847603,forward to the competent authority,560912,2010-11-08 23:54:53,
2847603,regular procedure without MER,560912,2010-11-08 23:55:03,
2847603,send procedure confirmation,560912,2010-11-09 00:02:19,
2847603,registrer date of publishing received request,560912,2010-11-09 00:03:13,
2848063,phase application received,560872,2010-11-09 00:07:18,
2848063,reception through OLO,560872,2010-11-09 00:07:40,
2848063,forward to the competent authority,560872,2010-11-09 00:07:47,
2848063,regular procedure without MER,560872,2010-11-09 00:07:54,
2848063,send procedure confirmation,560872,2010-11-09 00:08:00,
2848063,registrer date of publishing received request,560872,2010-11-09 00:08:38,
2883285,register date environmental permit decision,560872,2010-11-09 08:00:00,
2851738,enter senddate procedure confirmation,560912,2010-11-09 08:00:00,
2857143,register submission date request,560925,2010-11-09 08:00:00,
2854000,enter senddate procedure confirmation,560881,2010-11-09 08:00:00,
2854000,enter senddate procedure confirmation,560912,2010-11-09 08:00:00,
2852274,enter senddate procedure confirmation,560912,2010-11-09 08:00:00,
2814003,register date environmental permit decision,560912,2010-11-09 08:00:00,
2851738,phase application received,560912,2010-11-09 19:33:45,
2851738,reception through OLO,560912,2010-11-09 19:33:56,
2851738,forward to the competent authority,560912,2010-11-09 19:34:02,
2851738,regular procedure without MER,560912,2010-11-09 19:34:26,
2851738,send procedure confirmation,560912,2010-11-09 19:37:06,
2851738,registrer date of publishing received request,560912,2010-11-09 19:44:28,
2852274,phase application received,560912,2010-11-09 20:23:50,
2852274,reception through OLO,560912,2010-11-09 20:23:59,
2852274,forward to the competent authority,560912,2010-11-09 20:24:05,
2852274,regular procedure without MER,560912,2010-11-09 20:24:12,
2852274,send procedure confirmation,560912,2010-11-09 20:28:55,
2852274,registrer date of publishing received request,560912,2010-11-09 20:41:54,
2854000,phase application received,560912,2010-11-09 22:29:11,
2854000,reception through OLO,560912,2010-11-09 22:29:19,
2854000,forward to the competent authority,560912,2010-11-09 22:29:24,
2854000,regular procedure without MER,560912,2010-11-09 22:29:30,
2854000,send procedure confirmation,560912,2010-11-09 22:32:08,
2854000,registrer date of publishing received request,560912,2010-11-09 22:33:45,
2831567,registrer date of publishing received request,560912,2010-11-10 08:00:00,
2833073,registrer date of publishing received request,560912,2010-11-10 08:00:00,
2848063,enter senddate procedure confirmation,560890,2010-11-10 08:00:00,
2830183,registrer date of publishing received request,560925,2010-11-10 08:00:00,
2832460,registrer date of publishing received request,560912,2010-11-10 08:00:00,
2857143,enter senddate procedure confirmation,560925,2010-11-11 08:00:00,
2866083,register submission date request,560872,2010-11-11 08:00:00,
2857143,phase application received,560925,2010-11-11 17:36:32,
2857143,reception through OLO,560925,2010-11-11 17:36:43,
2857143,forward to the competent authority,560925,2010-11-11 17:36:48,
2857143,regular procedure without MER,560925,2010-11-11 17:36:52,
2857143,send procedure confirmation,560925,2010-11-11 17:41:30,
2868276,register submission date request,560872,2010-11-12 08:00:00,
2868714,register submission date request,560872,2010-11-15 08:00:00,
2883285,enter senddate decision environmental permit,560872,2010-11-15 08:00:00,
2883285,enter senddate procedure confirmation,560872,2010-11-15 08:00:00,
2814003,enter senddate decision environmental permit,560912,2010-11-15 08:00:00,
2782209,treat subcases completeness,560890,2010-11-15 17:03:28,
2782209,WAW permit aspect,560890,2010-11-15 17:04:27,
2782209,terminate on request,560890,2010-11-15 17:04:43,
2782209,extend procedure term,560890,2010-11-15 17:05:04,
2782209,subcases completeness completed,560890,2010-11-15 17:20:23,
2782209,activities regular procedure,560890,2010-11-15 19:47:28,
2782209,regular procedure applies,560890,2010-11-15 19:53:09,
2782209,request complete,560890,2010-11-15 19:54:18,
2782209,phase application receptive,560890,2010-11-15 19:54:19,
2782209,WAW permit aspect,560890,2010-11-15 19:54:26,
2782209,treat subcases content,560890,2010-11-15 19:54:34,
2782209,completed subcases content,560890,2010-11-15 19:54:39,
2782209,article 34  WABO applies,560890,2010-11-15 19:55:18,
2782209,assessment of content completed,560890,2010-11-15 19:56:17,
2782209,phase advice known,560890,2010-11-15 19:56:18,
2782209,grounds for refusal,560890,2010-11-15 19:56:23,
2782209,ask stakeholders views,560890,2010-11-15 20:06:58,
2782209,suspension ground applicable,560890,2010-11-15 20:07:03,
2782209,by law,560890,2010-11-15 20:07:07,
2782209,creating environmental permit decision,560890,2010-11-15 20:07:09,
2782209,generating decision environmental permit,560890,2010-11-15 20:20:39,
2782209,register date environmental permit decision,560890,2010-11-16 08:00:00,
2873491,register submission date request,560925,2010-11-16 08:00:00,
2871542,register submission date request,560872,2010-11-16 08:00:00,
2782209,register objection and appeal periods,560890,2010-11-16 18:58:25,
2782209,transcript decision environmental permit to stakeholders,560890,2010-11-16 19:30:00,
2782209,generate publication document decision environmental permit,560890,2010-11-16 19:38:31,
2840553,registrer date of publishing received request,560925,2010-11-17 08:00:00,
2847603,registrer date of publishing received request,560912,2010-11-17 08:00:00,
2846764,registrer date of publishing received request,560872,2010-11-17 08:00:00,
2872584,register submission date request,560872,2010-11-17 08:00:00,
2839858,registrer date of publishing received request,560925,2010-11-17 08:00:00,
2852274,registrer date of publishing received request,560912,2010-11-17 08:00:00,False
2848063,registrer date of publishing received request,560872,2010-11-17 08:00:00,
2847199,registrer date of publishing received request,560872,2010-11-17 08:00:00,
2883285,enter date publication decision environmental permit,560872,2010-11-17 08:00:00,
2814003,enter date publication decision environmental permit,560912,2010-11-17 08:00:00,
2854000,registrer date of publishing received request,560912,2010-11-17 08:00:00,
2851738,registrer date of publishing received request,560912,2010-11-17 08:00:00,
2838476,registrer date of publishing received request,560925,2010-11-17 08:00:00,
2840219,registrer date of publishing received request,560925,2010-11-17 08:00:00,
2883285,registrer date of publishing received request,560872,2010-11-17 08:00:00,
2783345,enter senddate retrieve missing data,2670601,2010-11-17 08:00:00,
2868714,enter senddate procedure confirmation,560881,2010-11-18 08:00:00,
2868714,enter senddate procedure confirmation,560872,2010-11-18 08:00:00,
2866083,enter senddate procedure confirmation,560881,2010-11-18 08:00:00,
2802160,enter senddate retrieve missing data,560890,2010-11-18 08:00:00,
2900428,register submission date request,560872,2010-11-18 08:00:00,
2866083,enter senddate procedure confirmation,560872,2010-11-18 08:00:00,
2879904,register submission date request,560912,2010-11-18 08:00:00,
2771451,enter senddate retrieve missing data,6,2010-11-18 08:00:00,
2771451,enter senddate acknowledgement,6,2010-11-18 08:00:00,
2891205,register submission date request,560925,2010-11-18 08:00:00,
2874224,register submission date request,560925,2010-11-18 08:00:00,
2868276,enter senddate procedure confirmation,560872,2010-11-18 08:00:00,
2782209,enter senddate procedure confirmation,560890,2010-11-18 08:00:00,
2866083,phase application received,560872,2010-11-18 17:27:26,
2866083,reception through OLO,560872,2010-11-18 17:27:33,
2866083,forward to the competent authority,560872,2010-11-18 17:27:37,
2866083,regular procedure without MER,560872,2010-11-18 17:28:00,
2866083,send procedure confirmation,560872,2010-11-18 17:34:18,
2866083,registrer date of publishing received request,560872,2010-11-18 17:43:01,
2868276,phase application received,560872,2010-11-18 18:21:10,
2868276,reception through OLO,560872,2010-11-18 18:21:15,
2868276,forward to the competent authority,560872,2010-11-18 18:21:19,
2868276,regular procedure without MER,560872,2010-11-18 18:21:28,
2868276,send procedure confirmation,560872,2010-11-18 18:28:25,
2868714,phase application received,560872,2010-11-18 19:16:39,
2868714,reception through OLO,560872,2010-11-18 19:16:46,
2868714,forward to the competent authority,560872,2010-11-18 19:16:50,
2868714,regular procedure without MER,560872,2010-11-18 19:17:17,
2868714,send procedure confirmation,560872,2010-11-18 19:34:18,
2868714,registrer date of publishing received request,560872,2010-11-18 19:45:33,
2857143,registrer date of publishing received request,560872,2010-11-18 19:47:08,
2868276,registrer date of publishing received request,560872,2010-11-18 19:48:16,
2782209,enter senddate decision environmental permit,560890,2010-11-19 08:00:00,
2875758,register submission date request,560925,2010-11-20 08:00:00,
2771451,enter receipt of additional data,6,2010-11-22 08:00:00,
2872584,enter senddate acknowledgement,560872,2010-11-22 08:00:00,
2871542,enter senddate acknowledgement,560872,2010-11-22 08:00:00,
2873491,enter senddate acknowledgement,560925,2010-11-22 08:00:00,
2873491,enter senddate letter to stakeholders,560925,2010-11-22 08:00:00,
2873491,enter senddate letter to competent authority,560925,2010-11-22 08:00:00,
2873491,phase application received,560925,2010-11-22 19:50:01,
2873491,reception through OLO,560925,2010-11-22 20:03:15,
2873491,send confirmation receipt,560925,2010-11-22 20:12:16,
2873491,forward to the competent authority,560925,2010-11-22 20:13:01,
2873491,forward transcript to stakeholders,560925,2010-11-22 21:19:04,
2873491,request to competent authority,560925,2010-11-22 21:19:08,
2873491,phase procedure aborted,560925,2010-11-22 21:19:28,
2873491,close case,560925,2010-11-22 21:19:36,False
2872584,phase application received,560872,2010-11-22 23:14:38,
2872584,reception through OLO,560872,2010-11-22 23:14:45,
2872584,send confirmation receipt,560872,2010-11-22 23:34:24,
2872584,forward to the competent authority,560872,2010-11-22 23:41:18,
2874224,enter senddate acknowledgement,560912,2010-11-23 08:00:00,
2847199,register date environmental permit decision,560890,2010-11-23 08:00:00,
2876753,enter senddate acknowledgement,560872,2010-11-23 08:00:00,
2876753,register submission date request,560925,2010-11-23 08:00:00,
2875758,enter senddate acknowledgement,560925,2010-11-23 08:00:00,
2887729,register submission date request,560925,2010-11-23 08:00:00,
2890437,register submission date request,560925,2010-11-23 08:00:00,
2874224,phase application received,560925,2010-11-23 17:50:08,
2874224,reception through OLO,560925,2010-11-23 17:50:19,
2875758,phase application received,560925,2010-11-23 19:44:07,
2875758,reception through OLO,560925,2010-11-23 19:44:12,
2847199,request complete,560894,2010-11-23 20:07:47,
2847199,phase application receptive,560894,2010-11-23 20:08:02,
2847199,WAW permit aspect,560894,2010-11-23 20:08:21,
2847199,treat subcases content,560890,2010-11-23 21:38:47,
2847199,completed subcases content,560890,2010-11-23 21:39:24,
2847199,article 34  WABO applies,560890,2010-11-23 21:39:31,
2847199,assessment of content completed,560890,2010-11-23 21:39:36,
2847199,phase advice known,560890,2010-11-23 21:39:36,
2847199,grounds for refusal,560890,2010-11-23 21:39:40,
2847199,ask stakeholders views,560890,2010-11-23 21:39:48,
2847199,suspension ground applicable,560890,2010-11-23 21:44:25,
2847199,by law,560890,2010-11-23 21:44:57,
2847199,creating environmental permit decision,560890,2010-11-23 21:44:58,
2847199,generating decision environmental permit,560890,2010-11-23 22:43:20,
2847199,register objection and appeal periods,560890,2010-11-23 22:44:37,
2847199,transcript decision environmental permit to stakeholders,560890,2010-11-23 22:45:18,
2847199,generate publication document decision environmental permit,560890,2010-11-23 22:45:41,
2876753,phase application received,560925,2010-11-23 23:00:09,
2876753,reception through OLO,560925,2010-11-23 23:00:16,
2874224,enter senddate procedure confirmation,560912,2010-11-24 08:00:00,
2782209,enter date publication decision environmental permit,560890,2010-11-24 08:00:00,False
2783345,enter receipt of additional data,2670601,2010-11-24 08:00:00,
2857143,registrer date of publishing received request,560872,2010-11-24 08:00:00,
2771451,enter senddate procedure confirmation,6,2010-11-24 08:00:00,
2874224,enter senddate procedure confirmation,2670601,2010-11-24 08:00:00,
2874224,enter senddate procedure confirmation,2670601,2010-11-24 08:00:00,
2874224,send confirmation receipt,560912,2010-11-24 19:44:58,
2874224,forward to the competent authority,560912,2010-11-24 19:45:11,
2874224,regular procedure without MER,560912,2010-11-24 19:45:17,
2874224,send procedure confirmation,560912,2010-11-24 19:50:56,
2874224,registrer date of publishing received request,560912,2010-11-24 19:51:27,
2875758,enter senddate procedure confirmation,560925,2010-11-25 08:00:00,
2771451,registrer date of publishing received request,6,2010-11-25 08:00:00,
2875758,enter senddate procedure confirmation,560894,2010-11-25 08:00:00,
2883285,phase application received,560872,2010-11-25 20:38:49,
2883285,reception through OLO,560872,2010-11-25 20:38:55,
2883285,forward to the competent authority,560872,2010-11-25 20:38:59,
2883285,regular procedure without MER,560872,2010-11-25 20:39:13,
2883285,send procedure confirmation,560872,2010-11-25 20:39:15,
2883285,extend procedure term,560872,2010-11-25 20:39:33,
2883285,registrer date of publishing received request,560872,2010-11-25 20:39:41,
2883285,terminate on request,560872,2010-11-25 20:40:10,
2883285,applicant is stakeholder,560872,2010-11-25 20:40:14,
2883285,WAW permit aspect,560872,2010-11-25 20:40:21,
2883285,treat subcases completeness,560872,2010-11-25 20:40:24,
2883285,subcases completeness completed,560872,2010-11-25 20:40:26,
2883285,activities regular procedure,560872,2010-11-25 20:40:33,
2883285,regular procedure applies,560872,2010-11-25 20:40:37,
2883285,request complete,560872,2010-11-25 20:40:56,
2883285,phase application receptive,560872,2010-11-25 20:40:57,
2883285,WAW permit aspect,560872,2010-11-25 20:41:03,
2883285,treat subcases content,560872,2010-11-25 20:41:09,
2883285,completed subcases content,560872,2010-11-25 20:41:11,
