Case ID,Activity,Resource,Complete Timestamp,outcome
N32109,Payment,,2001-02-05 00:00:00,False
N31082,Create Fine,546.0,2001-02-05 00:00:00,
N31898,Create Fine,537.0,2001-02-05 00:00:00,
N32035,Create Fine,541.0,2001-02-06 00:00:00,
N32027,Payment,,2001-02-06 00:00:00,False
N31730,Create Fine,538.0,2001-02-07 00:00:00,
N32607,Create Fine,538.0,2001-02-07 00:00:00,
S57097,Create Fine,29.0,2001-02-07 00:00:00,
N32855,Create Fine,550.0,2001-02-07 00:00:00,
N30945,Send Fine,,2001-02-08 00:00:00,
N19818,Send Fine,,2001-02-08 00:00:00,
S60455,Send Fine,,2001-02-08 00:00:00,
N31625,Send Fine,,2001-02-08 00:00:00,
N32218,Create Fine,536.0,2001-02-08 00:00:00,
N32225,Create Fine,536.0,2001-02-08 00:00:00,
S60452,Send Fine,,2001-02-08 00:00:00,
S57098,Create Fine,29.0,2001-02-08 00:00:00,
N32615,Create Fine,538.0,2001-02-08 00:00:00,
N32219,Create Fine,536.0,2001-02-08 00:00:00,
N32226,Create Fine,536.0,2001-02-08 00:00:00,
N31036,Send Fine,,2001-02-08 00:00:00,
N31630,Send Fine,,2001-02-08 00:00:00,
N31646,Send Fine,,2001-02-08 00:00:00,
S58823,Send Fine,,2001-02-08 00:00:00,
N30449,Send Fine,,2001-02-08 00:00:00,
S58836,Send Fine,,2001-02-08 00:00:00,False
N32223,Create Fine,536.0,2001-02-09 00:00:00,
N32862,Create Fine,550.0,2001-02-09 00:00:00,
N31742,Create Fine,538.0,2001-02-09 00:00:00,
N31746,Create Fine,538.0,2001-02-10 00:00:00,
N32466,Create Fine,538.0,2001-02-10 00:00:00,
N32454,Create Fine,538.0,2001-02-10 00:00:00,
N32451,Create Fine,538.0,2001-02-10 00:00:00,
N32855,Payment,,2001-02-12 00:00:00,False
S57099,Create Fine,29.0,2001-02-13 00:00:00,
N32458,Create Fine,538.0,2001-02-13 00:00:00,
N32893,Create Fine,550.0,2001-02-14 00:00:00,
N32615,Payment,,2001-02-14 00:00:00,False
S39167,Create Fine,22.0,2001-02-14 00:00:00,
S57415,Create Fine,31.0,2001-02-14 00:00:00,
N32640,Create Fine,538.0,2001-02-15 00:00:00,
S57098,Payment,,2001-02-15 00:00:00,False
N31963,Create Fine,541.0,2001-02-16 00:00:00,
N31662,Send Fine,,2001-02-16 00:00:00,
N30981,Send Fine,,2001-02-16 00:00:00,
N32905,Create Fine,550.0,2001-02-16 00:00:00,
N31351,Send Fine,,2001-02-16 00:00:00,
N32479,Create Fine,538.0,2001-02-16 00:00:00,
N31327,Send Fine,,2001-02-16 00:00:00,
N31642,Send Fine,,2001-02-16 00:00:00,
S60102,Send Fine,,2001-02-16 00:00:00,
S60023,Send Fine,,2001-02-16 00:00:00,
N32754,Send Fine,,2001-02-16 00:00:00,
N31069,Send Fine,,2001-02-16 00:00:00,
N31802,Send Fine,,2001-02-16 00:00:00,
N31673,Send Fine,,2001-02-16 00:00:00,
N31686,Send Fine,,2001-02-16 00:00:00,
N31811,Send Fine,,2001-02-16 00:00:00,
N31342,Send Fine,,2001-02-16 00:00:00,
N30974,Send Fine,,2001-02-16 00:00:00,
N31099,Create Fine,546.0,2001-02-16 00:00:00,
N19842,Send Fine,,2001-02-16 00:00:00,
N31788,Send Fine,,2001-02-16 00:00:00,
N31786,Send Fine,,2001-02-16 00:00:00,
N19840,Send Fine,,2001-02-16 00:00:00,
N31641,Send Fine,,2001-02-16 00:00:00,
N32241,Create Fine,536.0,2001-02-16 00:00:00,
N31366,Send Fine,,2001-02-16 00:00:00,
N19841,Send Fine,,2001-02-16 00:00:00,False
N32251,Create Fine,536.0,2001-02-17 00:00:00,
N32250,Create Fine,536.0,2001-02-17 00:00:00,
N30449,Insert Fine Notification,,2001-02-17 00:00:00,
N32246,Create Fine,536.0,2001-02-17 00:00:00,
N32250,Payment,,2001-02-19 00:00:00,False
S60037,Create Fine,26.0,2001-02-19 00:00:00,
N19818,Insert Fine Notification,,2001-02-19 00:00:00,
N32494,Create Fine,538.0,2001-02-19 00:00:00,
S43272,Create Fine,15.0,2001-02-20 00:00:00,
N32666,Create Fine,537.0,2001-02-20 00:00:00,
N32479,Payment,,2001-02-20 00:00:00,False
N32506,Create Fine,538.0,2001-02-21 00:00:00,
N32505,Create Fine,538.0,2001-02-21 00:00:00,
N32451,Payment,,2001-02-21 00:00:00,False
N32246,Payment,,2001-02-21 00:00:00,False
S57099,Payment,,2001-02-21 00:00:00,False
N32494,Payment,,2001-02-22 00:00:00,False
S60263,Create Fine,11.0,2001-02-22 00:00:00,
N31036,Insert Fine Notification,,2001-02-22 00:00:00,
N32264,Create Fine,536.0,2001-02-22 00:00:00,
N32265,Create Fine,536.0,2001-02-22 00:00:00,
S60452,Insert Fine Notification,,2001-02-23 00:00:00,
S60266,Create Fine,11.0,2001-02-23 00:00:00,
N32275,Create Fine,536.0,2001-02-23 00:00:00,
N32526,Create Fine,538.0,2001-02-24 00:00:00,
N31980,Create Fine,541.0,2001-02-24 00:00:00,
N32522,Create Fine,538.0,2001-02-24 00:00:00,
S39170,Create Fine,22.0,2001-02-25 00:00:00,
S39172,Create Fine,22.0,2001-02-25 00:00:00,
S60271,Create Fine,11.0,2001-02-25 00:00:00,
N31625,Insert Fine Notification,,2001-02-26 00:00:00,
N32278,Create Fine,536.0,2001-02-26 00:00:00,
N32279,Create Fine,536.0,2001-02-26 00:00:00,
N32143,Create Fine,548.0,2001-02-27 00:00:00,
S58849,Create Fine,28.0,2001-02-27 00:00:00,
S60158,Create Fine,29.0,2001-02-27 00:00:00,
S58136,Create Fine,36.0,2001-02-27 00:00:00,
S58848,Create Fine,28.0,2001-02-27 00:00:00,
N32680,Create Fine,537.0,2001-02-28 00:00:00,
N32143,Payment,,2001-02-28 00:00:00,False
N30945,Insert Fine Notification,,2001-02-28 00:00:00,
N32156,Create Fine,548.0,2001-03-01 00:00:00,
N31130,Create Fine,546.0,2001-03-01 00:00:00,
S60279,Create Fine,11.0,2001-03-01 00:00:00,
N32694,Create Fine,537.0,2001-03-02 00:00:00,
S39170,Payment,,2001-03-02 00:00:00,False
N32542,Create Fine,538.0,2001-03-02 00:00:00,
N32022,Send Fine,,2001-03-03 00:00:00,
N31866,Send Fine,,2001-03-03 00:00:00,
N31400,Send Fine,,2001-03-03 00:00:00,
N32799,Send Fine,,2001-03-03 00:00:00,
N32015,Send Fine,,2001-03-03 00:00:00,
N32770,Send Fine,,2001-03-03 00:00:00,
N31823,Send Fine,,2001-03-03 00:00:00,
S43372,Send Fine,,2001-03-03 00:00:00,
N30486,Send Fine,,2001-03-03 00:00:00,
N31848,Send Fine,,2001-03-03 00:00:00,
N31066,Send Fine,,2001-03-03 00:00:00,
N32291,Create Fine,536.0,2001-03-03 00:00:00,
N31686,Insert Fine Notification,,2001-03-03 00:00:00,
N32703,Create Fine,537.0,2001-03-03 00:00:00,
N30974,Insert Fine Notification,,2001-03-03 00:00:00,
N19850,Send Fine,,2001-03-03 00:00:00,
N31827,Send Fine,,2001-03-03 00:00:00,
N30490,Send Fine,,2001-03-03 00:00:00,
N31069,Insert Fine Notification,,2001-03-03 00:00:00,
N32824,Send Fine,,2001-03-03 00:00:00,
N30495,Send Fine,,2001-03-03 00:00:00,
N31646,Insert Fine Notification,,2001-03-04 00:00:00,
S58823,Insert Fine Notification,,2001-03-04 00:00:00,
N31630,Insert Fine Notification,,2001-03-04 00:00:00,
N32916,Create Fine,550.0,2001-03-05 00:00:00,
N30981,Insert Fine Notification,,2001-03-05 00:00:00,
S57425,Create Fine,31.0,2001-03-05 00:00:00,
S60113,Create Fine,30.0,2001-03-05 00:00:00,
N32162,Create Fine,548.0,2001-03-06 00:00:00,
C12921,Create Fine,31.0,2001-03-06 00:00:00,
S60158,Payment,,2001-03-06 00:00:00,False
N31342,Insert Fine Notification,,2001-03-06 00:00:00,
N32558,Create Fine,538.0,2001-03-06 00:00:00,
N31351,Insert Fine Notification,,2001-03-07 00:00:00,
N19840,Insert Fine Notification,,2001-03-07 00:00:00,
S60286,Create Fine,11.0,2001-03-07 00:00:00,
V7025,Create Fine,26.0,2001-03-07 00:00:00,
S60118,Create Fine,30.0,2001-03-07 00:00:00,
S60293,Create Fine,11.0,2001-03-08 00:00:00,
N32694,Payment,,2001-03-08 00:00:00,False
N31788,Insert Fine Notification,,2001-03-08 00:00:00,
N31907,Create Fine,541.0,2001-03-09 00:00:00,
N31911,Create Fine,541.0,2001-03-10 00:00:00,
N32926,Create Fine,550.0,2001-03-10 00:00:00,
C12814,Create Fine,27.0,2001-03-10 00:00:00,
S60126,Create Fine,30.0,2001-03-10 00:00:00,
N32308,Create Fine,536.0,2001-03-10 00:00:00,
N32162,Payment,,2001-03-10 00:00:00,False
N19842,Insert Fine Notification,,2001-03-11 00:00:00,
S44006,Create Fine,24.0,2001-03-12 00:00:00,
S60072,Create Fine,35.0,2001-03-12 00:00:00,
N32666,Payment,,2001-03-12 00:00:00,False
N32754,Insert Fine Notification,,2001-03-12 00:00:00,
N19840,Payment,,2001-03-12 00:00:00,
N31642,Insert Fine Notification,,2001-03-12 00:00:00,
S60023,Payment,,2001-03-12 00:00:00,False
C12823,Payment,,2001-03-12 00:00:00,False
N32558,Payment,,2001-03-12 00:00:00,False
N32316,Create Fine,536.0,2001-03-12 00:00:00,
N32180,Create Fine,548.0,2001-03-13 00:00:00,
N32319,Create Fine,536.0,2001-03-13 00:00:00,
S50591,Create Fine,27.0,2001-03-13 00:00:00,
S60102,Insert Fine Notification,,2001-03-13 00:00:00,
V7041,Create Fine,35.0,2001-03-14 00:00:00,
N32724,Create Fine,537.0,2001-03-14 00:00:00,
V7050,Create Fine,35.0,2001-03-14 00:00:00,
V7056,Create Fine,35.0,2001-03-14 00:00:00,
V7060,Create Fine,30.0,2001-03-14 00:00:00,
S60455,Payment,,2001-03-14 00:00:00,False
S60118,Payment,,2001-03-14 00:00:00,False
V7074,Create Fine,30.0,2001-03-15 00:00:00,
V7071,Create Fine,30.0,2001-03-15 00:00:00,
N31366,Insert Fine Notification,,2001-03-15 00:00:00,
N31662,Insert Fine Notification,,2001-03-15 00:00:00,
N32330,Create Fine,536.0,2001-03-16 00:00:00,
V7087,Create Fine,35.0,2001-03-16 00:00:00,
N31935,Create Fine,541.0,2001-03-16 00:00:00,
N31066,Insert Fine Notification,,2001-03-16 00:00:00,
N31827,Insert Fine Notification,,2001-03-16 00:00:00,
S60559,Create Fine,11.0,2001-03-16 00:00:00,
N31866,Insert Fine Notification,,2001-03-16 00:00:00,
N32955,Create Fine,550.0,2001-03-16 00:00:00,
N30495,Insert Fine Notification,,2001-03-16 00:00:00,
N31327,Insert Fine Notification,,2001-03-16 00:00:00,
N31811,Insert Fine Notification,,2001-03-16 00:00:00,
N32950,Create Fine,550.0,2001-03-17 00:00:00,
N19850,Insert Fine Notification,,2001-03-17 00:00:00,
N31823,Insert Fine Notification,,2001-03-17 00:00:00,
N32770,Insert Fine Notification,,2001-03-17 00:00:00,
S60559,Payment,,2001-03-17 00:00:00,False
S60279,Payment,,2001-03-17 00:00:00,False
N31152,Create Fine,546.0,2001-03-19 00:00:00,
N31848,Insert Fine Notification,,2001-03-19 00:00:00,
N31673,Payment,,2001-03-19 00:00:00,False
N31641,Insert Fine Notification,,2001-03-19 00:00:00,
S60072,Payment,,2001-03-20 00:00:00,False
N31786,Insert Fine Notification,,2001-03-20 00:00:00,
N31946,Create Fine,541.0,2001-03-20 00:00:00,
N32587,Create Fine,538.0,2001-03-20 00:00:00,
N31802,Insert Fine Notification,,2001-03-20 00:00:00,
N32595,Create Fine,538.0,2001-03-20 00:00:00,
N32022,Payment,,2001-03-20 00:00:00,False
N31949,Create Fine,541.0,2001-03-21 00:00:00,
S43372,Insert Fine Notification,,2001-03-21 00:00:00,
S60358,Create Fine,34.0,2001-03-21 00:00:00,
N31400,Insert Fine Notification,,2001-03-21 00:00:00,
N32345,Create Fine,536.0,2001-03-22 00:00:00,
N32965,Create Fine,550.0,2001-03-22 00:00:00,
N31155,Create Fine,546.0,2001-03-23 00:00:00,
N33861,Create Fine,548.0,2001-03-23 00:00:00,
S60358,Payment,,2001-03-23 00:00:00,False
V7130,Create Fine,32.0,2001-03-24 00:00:00,
V7124,Create Fine,32.0,2001-03-24 00:00:00,
N33303,Create Fine,538.0,2001-03-24 00:00:00,
S60579,Create Fine,11.0,2001-03-24 00:00:00,
N31157,Create Fine,546.0,2001-03-24 00:00:00,
V7132,Create Fine,30.0,2001-03-26 00:00:00,
N32015,Insert Fine Notification,,2001-03-26 00:00:00,
N33303,Payment,,2001-03-27 00:00:00,False
S60602,Create Fine,704.0,2001-03-27 00:00:00,
C13018,Create Fine,27.0,2001-03-27 00:00:00,
N30490,Insert Fine Notification,,2001-03-27 00:00:00,
V7139,Create Fine,30.0,2001-03-28 00:00:00,
C12956,Create Fine,35.0,2001-03-28 00:00:00,
N32364,Create Fine,536.0,2001-03-28 00:00:00,
N32990,Create Fine,550.0,2001-03-28 00:00:00,
V7148,Create Fine,30.0,2001-03-28 00:00:00,
N32799,Insert Fine Notification,,2001-03-29 00:00:00,
N32824,Insert Fine Notification,,2001-03-29 00:00:00,
S60302,Create Fine,16.0,2001-03-29 00:00:00,
N30486,Insert Fine Notification,,2001-03-29 00:00:00,
C12884,Create Fine,34.0,2001-03-29 00:00:00,
S60606,Create Fine,704.0,2001-03-29 00:00:00,
N32373,Create Fine,536.0,2001-03-30 00:00:00,
N32370,Create Fine,536.0,2001-03-30 00:00:00,
N33326,Create Fine,538.0,2001-03-30 00:00:00,
N33321,Create Fine,538.0,2001-03-30 00:00:00,
S60579,Payment,,2001-03-30 00:00:00,False
N33320,Create Fine,538.0,2001-03-30 00:00:00,
N32374,Create Fine,536.0,2001-03-30 00:00:00,
S60608,Create Fine,704.0,2001-03-30 00:00:00,
V7152,Create Fine,30.0,2001-03-31 00:00:00,
S60591,Create Fine,11.0,2001-03-31 00:00:00,
S60589,Create Fine,11.0,2001-03-31 00:00:00,
N32998,Create Fine,550.0,2001-03-31 00:00:00,
V7155,Create Fine,30.0,2001-03-31 00:00:00,
V7150,Create Fine,30.0,2001-03-31 00:00:00,
S39188,Create Fine,22.0,2001-04-01 00:00:00,
C13060,Create Fine,31.0,2001-04-01 00:00:00,
S60141,Create Fine,30.0,2001-04-01 00:00:00,
S39182,Create Fine,22.0,2001-04-01 00:00:00,
S39182,Payment,,2001-04-02 00:00:00,
S60589,Payment,,2001-04-02 00:00:00,False
N33328,Create Fine,538.0,2001-04-02 00:00:00,
N33138,Create Fine,537.0,2001-04-03 00:00:00,
N33136,Create Fine,537.0,2001-04-04 00:00:00,
S55604,Create Fine,27.0,2001-04-04 00:00:00,
S60179,Create Fine,29.0,2001-04-05 00:00:00,
N31480,Create Fine,541.0,2001-04-05 00:00:00,
N31482,Create Fine,541.0,2001-04-05 00:00:00,
S60708,Create Fine,11.0,2001-04-05 00:00:00,
S60266,Send Fine,,2001-04-06 00:00:00,
N32223,Send Fine,,2001-04-06 00:00:00,
S43371,Send Fine,,2001-04-06 00:00:00,
S44006,Send Fine,,2001-04-06 00:00:00,
N33139,Create Fine,537.0,2001-04-06 00:00:00,
S60710,Create Fine,11.0,2001-04-06 00:00:00,
S60308,Create Fine,16.0,2001-04-06 00:00:00,
N33344,Create Fine,538.0,2001-04-06 00:00:00,
N34071,Create Fine,550.0,2001-04-06 00:00:00,
N33145,Create Fine,537.0,2001-04-07 00:00:00,
S60141,Payment,,2001-04-07 00:00:00,False
S43556,Create Fine,18.0,2001-04-08 00:00:00,
S55607,Create Fine,27.0,2001-04-08 00:00:00,
S60179,Payment,,2001-04-09 00:00:00,False
N33355,Create Fine,538.0,2001-04-09 00:00:00,
N33360,Create Fine,538.0,2001-04-09 00:00:00,
N33900,Create Fine,548.0,2001-04-10 00:00:00,
N33914,Create Fine,548.0,2001-04-10 00:00:00,
N33913,Create Fine,548.0,2001-04-10 00:00:00,
N33905,Create Fine,548.0,2001-04-10 00:00:00,
N33173,Create Fine,537.0,2001-04-11 00:00:00,
N33916,Create Fine,548.0,2001-04-11 00:00:00,
N32405,Create Fine,536.0,2001-04-11 00:00:00,
S60266,Insert Fine Notification,,2001-04-12 00:00:00,
N33179,Create Fine,537.0,2001-04-12 00:00:00,
N32223,Insert Fine Notification,,2001-04-12 00:00:00,
S60734,Create Fine,11.0,2001-04-13 00:00:00,
S56425,Create Fine,20.0,2001-04-13 00:00:00,
N33508,Create Fine,541.0,2001-04-14 00:00:00,
N33184,Create Fine,537.0,2001-04-14 00:00:00,
N33371,Create Fine,538.0,2001-04-14 00:00:00,
N33181,Create Fine,537.0,2001-04-14 00:00:00,
N33370,Create Fine,538.0,2001-04-14 00:00:00,
N31173,Create Fine,546.0,2001-04-17 00:00:00,
N33905,Payment,,2001-04-17 00:00:00,False
N34119,Create Fine,550.0,2001-04-18 00:00:00,
N33511,Create Fine,541.0,2001-04-18 00:00:00,
N33376,Create Fine,538.0,2001-04-18 00:00:00,
N32251,Payment,,2001-04-18 00:00:00,False
N34117,Create Fine,550.0,2001-04-18 00:00:00,
N33373,Create Fine,538.0,2001-04-18 00:00:00,
N33374,Create Fine,538.0,2001-04-18 00:00:00,
N30449,Add penalty,,2001-04-18 00:00:00,
N31175,Create Fine,546.0,2001-04-19 00:00:00,
N32421,Create Fine,536.0,2001-04-20 00:00:00,
S60744,Create Fine,11.0,2001-04-20 00:00:00,
N31175,Payment,,2001-04-20 00:00:00,False
N19818,Add penalty,,2001-04-20 00:00:00,
V7191,Create Fine,30.0,2001-04-21 00:00:00,
N34135,Create Fine,550.0,2001-04-21 00:00:00,
N33390,Create Fine,538.0,2001-04-21 00:00:00,
N34138,Create Fine,550.0,2001-04-21 00:00:00,
S60413,Create Fine,28.0,2001-04-22 00:00:00,
S60757,Create Fine,30.0,2001-04-22 00:00:00,
N33209,Create Fine,537.0,2001-04-23 00:00:00,
N31036,Add penalty,,2001-04-23 00:00:00,
N33399,Create Fine,538.0,2001-04-23 00:00:00,
N34147,Create Fine,550.0,2001-04-23 00:00:00,
N32278,Send Fine,,2001-04-24 00:00:00,
S60757,Payment,,2001-04-24 00:00:00,False
S60452,Add penalty,,2001-04-24 00:00:00,
N30973,Send Fine,,2001-04-24 00:00:00,
S43371,Insert Fine Notification,,2001-04-24 00:00:00,
C12855,Send Fine,,2001-04-24 00:00:00,
N32432,Create Fine,536.0,2001-04-24 00:00:00,
N33217,Create Fine,537.0,2001-04-24 00:00:00,
S57425,Send Fine,,2001-04-24 00:00:00,
S44006,Insert Fine Notification,,2001-04-24 00:00:00,
S50591,Send Fine,,2001-04-24 00:00:00,
S60256,Send Fine,,2001-04-24 00:00:00,
S60606,Send Fine,,2001-04-24 00:00:00,
N33219,Create Fine,537.0,2001-04-24 00:00:00,
S60422,Create Fine,28.0,2001-04-25 00:00:00,
S60431,Create Fine,28.0,2001-04-25 00:00:00,
S55622,Create Fine,27.0,2001-04-26 00:00:00,
S60659,Create Fine,31.0,2001-04-26 00:00:00,
S39188,Payment,,2001-04-26 00:00:00,False
N32432,Payment,,2001-04-26 00:00:00,False
S55625,Create Fine,27.0,2001-04-26 00:00:00,
S60659,Payment,,2001-04-27 00:00:00,False
C12821,Create Fine,27.0,2001-04-27 00:00:00,
N31625,Add penalty,,2001-04-27 00:00:00,
S55622,Payment,,2001-04-28 00:00:00,False
N33536,Create Fine,541.0,2001-04-28 00:00:00,
N33145,Payment,,2001-04-28 00:00:00,False
S60629,Create Fine,704.0,2001-04-28 00:00:00,
S60626,Create Fine,704.0,2001-04-28 00:00:00,
N33538,Create Fine,541.0,2001-04-28 00:00:00,
N33413,Create Fine,538.0,2001-04-28 00:00:00,
N33547,Create Fine,541.0,2001-04-28 00:00:00,
S57432,Create Fine,31.0,2001-04-28 00:00:00,
N30945,Add penalty,,2001-04-29 00:00:00,
S56432,Create Fine,20.0,2001-04-29 00:00:00,
S56431,Create Fine,20.0,2001-04-29 00:00:00,
N33344,Payment,,2001-04-30 00:00:00,False
C13183,Create Fine,35.0,2001-04-30 00:00:00,
C13113,Create Fine,29.0,2001-05-01 00:00:00,
S60632,Create Fine,704.0,2001-05-01 00:00:00,
N31069,Add penalty,,2001-05-02 00:00:00,
N33246,Create Fine,537.0,2001-05-02 00:00:00,
N33001,Create Fine,536.0,2001-05-02 00:00:00,
N33923,Create Fine,548.0,2001-05-02 00:00:00,
N31686,Add penalty,,2001-05-02 00:00:00,
N33433,Create Fine,538.0,2001-05-02 00:00:00,
N30974,Add penalty,,2001-05-02 00:00:00,
C13067,Create Fine,31.0,2001-05-03 00:00:00,
N31646,Add penalty,,2001-05-03 00:00:00,
N31630,Add penalty,,2001-05-03 00:00:00,
S60748,Create Fine,11.0,2001-05-03 00:00:00,
S58823,Add penalty,,2001-05-03 00:00:00,
S60256,Insert Fine Notification,,2001-05-03 00:00:00,
N33252,Create Fine,537.0,2001-05-04 00:00:00,
S60851,Create Fine,36.0,2001-05-04 00:00:00,
N30981,Add penalty,,2001-05-04 00:00:00,
N30973,Insert Fine Notification,,2001-05-04 00:00:00,
S50591,Insert Fine Notification,,2001-05-04 00:00:00,
S60762,Create Fine,30.0,2001-05-05 00:00:00,
N33440,Create Fine,538.0,2001-05-05 00:00:00,
N31342,Add penalty,,2001-05-05 00:00:00,
N34191,Create Fine,550.0,2001-05-05 00:00:00,
S60201,Create Fine,25.0,2001-05-05 00:00:00,
S43568,Create Fine,18.0,2001-05-05 00:00:00,
S61051,Create Fine,824.0,2001-05-05 00:00:00,
S61052,Create Fine,824.0,2001-05-05 00:00:00,
S61651,Create Fine,833.0,2001-05-05 00:00:00,
N34178,Create Fine,550.0,2001-05-05 00:00:00,
S60955,Create Fine,813.0,2001-05-05 00:00:00,
S61802,Create Fine,820.0,2001-05-05 00:00:00,
S43558,Create Fine,18.0,2001-05-05 00:00:00,
S61704,Create Fine,834.0,2001-05-06 00:00:00,
N19840,Add penalty,,2001-05-06 00:00:00,
S61201,Create Fine,828.0,2001-05-06 00:00:00,
N31351,Add penalty,,2001-05-06 00:00:00,
S55633,Create Fine,27.0,2001-05-06 00:00:00,
N34185,Create Fine,550.0,2001-05-07 00:00:00,
C12855,Insert Fine Notification,,2001-05-07 00:00:00,
N33557,Create Fine,541.0,2001-05-07 00:00:00,
S61360,Create Fine,818.0,2001-05-07 00:00:00,
N31788,Add penalty,,2001-05-07 00:00:00,
S61755,Create Fine,825.0,2001-05-07 00:00:00,
