REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,case_cost,outcome
20183007475,Service closure Request with network responsibility,2018-03-20 10:48:10,2018-09-28 12:20:20.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20183007819,Request created,2018-03-20 17:41:38,2018-10-30 12:46:04.000,231,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20183008842,Request created,2018-03-22 16:06:24,2018-03-22 16:07:36.000,114,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20183008842,Evaluating Request (NO registered letter),2018-03-22 16:07:36,2018-04-03 09:25:28.000,210,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20183011011,Request created,2018-03-29 12:29:56,2018-03-29 12:30:22.000,19,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20183011011,Service closure Request with network responsibility,2018-03-29 12:30:22,2018-04-17 13:03:28.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20183011011,Authorization Requested,2018-04-17 13:03:28,2018-04-17 13:04:55.000,250,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91,
20183011011,Service closure Request with BO responsibility,2018-04-17 13:04:55,2018-04-17 13:29:27.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,5.71,
20183011011,Pending Request for Reservation Closure,2018-04-17 13:29:27,2018-04-17 13:31:11.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,6.51,
20183011011,Pending Liquidation Request,2018-04-17 13:31:11,2018-04-20 03:11:52.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,7.31,
20183011011,Request completed with account closure,2018-04-20 03:11:52,2018-04-20 03:11:52.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,8.11,False
20185000723,Request created,2018-05-03 10:26:03,2018-10-29 16:19:29.000,325,APPLICANT,Inheritance,,Completed,1.5,
20185001899,Request created,2018-05-07 11:49:38,2018-05-07 11:50:00.000,99,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20185001899,Service closure Request with network responsibility,2018-05-07 11:50:00,2018-05-07 11:51:06.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20185001899,Authorization Requested,2018-05-07 11:51:06,2018-05-08 23:43:25.000,152,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91,
20185002321,Request created,2018-05-08 10:34:14,2019-02-19 17:20:33.000,332,APPLICANT,Bank Recess,,Deleted,1.5,
20185002373,Request created,2018-05-08 11:37:57,2018-05-08 11:38:15.000,333,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20185002373,Evaluating Request (NO registered letter),2018-05-08 11:38:15,2018-11-19 11:25:00.000,94,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20185002547,Request created,2018-05-08 14:50:33,2018-05-08 14:51:43.000,257,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
20185002547,Authorization Requested,2018-05-08 14:51:43,2018-05-08 14:52:03.000,90,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.3100000000000005,
20185002547,Service closure Request with network responsibility,2018-05-08 14:52:03,2018-11-12 14:49:23.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,4.91,
20185001899,Service closure Request with BO responsibility,2018-05-08 23:43:25,2018-05-14 10:38:23.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,5.71,
20185001899,Pending Request for Reservation Closure,2018-05-14 10:38:23,2018-05-14 10:38:56.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,6.51,
20185001899,Pending Liquidation Request,2018-05-14 10:38:56,2018-05-17 03:22:36.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,7.31,
20185001899,Request completed with account closure,2018-05-17 03:22:36,2018-05-17 03:22:36.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,8.11,False
20186001759,Request created,2018-06-07 08:57:23,2018-06-07 09:00:26.000,77,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
20186001759,Service closure Request with network responsibility,2018-06-07 09:00:26,2018-08-28 15:25:20.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20186001788,Request created,2018-06-07 09:22:45,2018-06-07 09:23:28.000,361,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,1.5,
20186001788,Service closure Request with network responsibility,2018-06-07 09:23:28,2018-10-02 09:26:34.000,,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,2.1,
20186005265,Request created,2018-06-19 09:04:33,2018-06-19 09:05:21.000,403,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20186005265,Evaluating Request (NO registered letter),2018-06-19 09:05:21,2018-09-04 15:17:49.000,404,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20186006102,Request created,2018-06-21 09:27:02,2018-06-21 09:30:54.000,258,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20186006102,Evaluating Request (NO registered letter),2018-06-21 09:30:54,2018-06-21 14:41:56.000,393,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20187002160,Request created,2018-07-09 09:58:49,2018-07-26 10:39:49.000,215,APPLICANT,Inheritance,,Completed,1.5,
20187002183,Request created,2018-07-09 10:21:56,2018-07-09 10:26:20.000,430,APPLICANT,Inheritance,,Completed,1.5,
20187002183,Service closure Request with network responsibility,2018-07-09 10:26:20,2018-07-09 10:31:47.000,,APPLICANT,Inheritance,,Completed,2.1,
20187002183,Authorization Requested,2018-07-09 10:31:47,2018-07-10 10:49:08.000,321,DIRECTOR,Inheritance,,Completed,4.91,
20187001795,Request created,2018-07-10 09:43:13,2018-07-10 09:44:58.000,145,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20187001795,Service closure Request with network responsibility,2018-07-10 09:44:58,2019-02-19 17:08:11.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20187002183,Service closure Request with BO responsibility,2018-07-10 10:49:08,2018-07-10 10:57:36.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20187002183,Network Adjustment Requested,2018-07-10 10:57:36,2018-07-10 11:14:37.000,321,APPLICANT,Inheritance,,Completed,6.31,
20187002183,Service closure Request with BO responsibility,2018-07-10 11:14:37,2018-07-10 11:40:47.000,BOF,BACK-OFFICE,Inheritance,,Completed,7.1099999999999985,
20187002183,Network Adjustment Requested,2018-07-10 11:40:47,2018-10-18 16:13:49.000,321,APPLICANT,Inheritance,,Completed,7.709999999999999,
20187002969,Request created,2018-07-11 09:29:32,2018-07-11 09:29:55.000,9,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5,
20187002969,Evaluating Request (NO registered letter),2018-07-11 09:29:55,2018-07-11 09:33:51.000,186,DIRECTOR,Client Recess,7 - Keep other relationships. Same dip,Completed,16.0,
20187002969,Service closure Request with network responsibility,2018-07-12 09:15:09,2018-07-12 09:15:46.000,186,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,16.6,
20187002969,Service closure Request with BO responsibility,2018-07-12 09:15:46,2018-07-16 14:12:49.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,17.400000000000002,
20187003715,Request created,2018-07-12 14:40:21,2018-07-12 14:41:02.000,232,APPLICANT,Inheritance,,Completed,1.5,
20187003715,Service closure Request with network responsibility,2018-07-12 14:41:02,2018-07-12 14:42:50.000,,APPLICANT,Inheritance,,Completed,2.1,
20187003715,Authorization Requested,2018-07-12 14:42:50,2018-07-20 10:05:47.000,459,DIRECTOR,Inheritance,,Completed,4.91,
20187004300,Request created,2018-07-16 08:43:11,2018-07-16 08:56:02.000,220,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20187004300,Evaluating Request (NO registered letter),2018-07-16 08:56:02,2018-07-18 16:27:14.000,220,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20187002969,Network Adjustment Requested,2018-07-16 14:12:49,2018-07-17 08:44:37.000,186,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,18.000000000000004,
20187002969,Service closure Request with BO responsibility,2018-07-17 08:44:37,2018-07-17 09:24:38.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,18.800000000000004,
20187004831,Request created,2018-07-17 08:59:25,2018-07-17 08:59:41.000,98,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
20187004831,Service closure Request with network responsibility,2018-07-17 08:59:41,2018-09-11 08:40:20.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20187002969,Network Adjustment Requested,2018-07-17 09:24:38,2018-10-05 18:48:59.000,186,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,19.400000000000013,
20187004883,Request created,2018-07-17 09:37:38,2018-11-05 10:44:01.000,35,APPLICANT,Client Recess,1 - Client lost,Deleted,1.5,
20187004977,Request created,2018-07-17 11:18:39,2018-07-17 11:19:45.000,39,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,1.5,
20187004977,Service closure Request with network responsibility,2018-07-17 11:19:45,2018-07-26 10:02:01.000,,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,2.1,
20187004988,Request created,2018-07-17 11:31:23,2018-07-17 11:31:50.000,419,APPLICANT,Inheritance,,Completed,1.5,
20187004988,Service closure Request with network responsibility,2018-07-17 11:31:50,2018-08-02 11:14:40.000,,APPLICANT,Inheritance,,Completed,2.1,
20187005950,Request created,2018-07-19 12:00:08,2018-07-19 12:01:13.000,210,APPLICANT,Client Recess,6 - Relationship changed,Completed,1.5,
20187005950,Evaluating Request (WITH registered letter),2018-07-19 12:01:13,2018-07-19 12:08:47.000,360,DIRECTOR,Client Recess,6 - Relationship changed,Completed,11.31,
20187005950,Service closure Request with network responsibility,2018-07-19 12:18:38,2018-07-19 12:22:08.000,360,APPLICANT,Client Recess,6 - Relationship changed,Completed,11.91,
20187005950,Service closure Request with BO responsibility,2018-07-19 12:22:08,2018-09-12 14:11:31.000,BOF,BACK-OFFICE,Client Recess,6 - Relationship changed,Completed,12.71,
20187003715,Service closure Request with BO responsibility,2018-07-20 10:05:47,2018-09-13 11:44:57.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20187006707,Request created,2018-07-23 10:02:11,2018-07-23 10:05:27.000,415,APPLICANT,Inheritance,,Completed,1.5,
20187006707,Service closure Request with network responsibility,2018-07-23 10:05:27,2018-07-23 10:10:03.000,,APPLICANT,Inheritance,,Completed,2.1,
20187006707,Authorization Requested,2018-07-23 10:10:03,2018-07-23 10:28:05.000,488,DIRECTOR,Inheritance,,Completed,4.91,
20187006707,Service closure Request with BO responsibility,2018-07-23 10:28:05,2018-09-11 10:46:22.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20187007541,Request created,2018-07-24 13:09:22,2018-07-24 13:11:37.000,53,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20187007541,Evaluating Request (NO registered letter),2018-07-24 13:11:37,2018-07-24 14:44:48.000,74,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20187008144,Request created,2018-07-25 13:17:59,2018-07-25 13:19:25.000,100,APPLICANT,Inheritance,,Completed,1.5,
20187008144,Service closure Request with network responsibility,2018-07-25 13:19:25,2018-07-25 13:21:31.000,,APPLICANT,Inheritance,,Completed,2.1,
20187008144,Authorization Requested,2018-07-25 13:21:31,2018-07-25 13:27:42.000,277,DIRECTOR,Inheritance,,Completed,4.91,
20187008144,Service closure Request with BO responsibility,2018-07-25 13:27:42,2018-09-06 12:38:54.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20187004977,Authorization Requested,2018-07-26 10:02:01,2018-07-30 09:40:59.000,279,DIRECTOR,Client Recess,4 - Open new bank account. Same dip,Completed,4.91,
20187002160,Service closure Request with network responsibility,2018-07-26 10:39:49,2018-07-26 10:43:19.000,,APPLICANT,Inheritance,,Completed,2.1,
20187002160,Authorization Requested,2018-07-26 10:43:19,2018-07-26 10:54:48.000,187,DIRECTOR,Inheritance,,Completed,4.91,
20187002160,Service closure Request with BO responsibility,2018-07-26 10:54:48,2018-09-06 10:23:21.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20187008946,Request created,2018-07-27 08:56:45,2018-07-27 08:57:07.000,76,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5,
20187008946,Evaluating Request (NO registered letter),2018-07-27 08:57:07,2018-08-02 08:30:56.000,184,DIRECTOR,Client Recess,7 - Keep other relationships. Same dip,Completed,16.0,
20187008998,Request created,2018-07-27 09:48:24,2018-07-27 09:54:25.000,205,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20187008998,Evaluating Request (NO registered letter),2018-07-27 09:54:25,2018-10-02 15:30:10.000,143,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20187009016,Request created,2018-07-27 10:13:00,2018-07-27 10:13:29.000,44,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5,
20187009016,Evaluating Request (NO registered letter),2018-07-27 10:13:29,2018-07-27 10:16:04.000,327,DIRECTOR,Client Recess,7 - Keep other relationships. Same dip,Completed,16.0,
20187009016,Service closure Request with network responsibility,2018-07-27 10:20:19,2018-07-30 15:50:02.000,327,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,16.6,
20187004977,Service closure Request with BO responsibility,2018-07-30 09:40:59,2018-09-12 10:09:38.000,BOF,BACK-OFFICE,Client Recess,4 - Open new bank account. Same dip,Completed,5.71,
20187011674,Request created,2018-07-30 10:53:04,2018-07-30 10:53:51.000,122,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20187011674,Evaluating Request (NO registered letter),2018-07-30 10:53:51,2018-08-20 09:19:20.000,36,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20187009016,Service closure Request with BO responsibility,2018-07-30 15:50:02,2018-08-22 09:29:20.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,17.400000000000002,
20187012253,Request created,2018-07-31 10:46:42,2018-07-31 10:47:25.000,323,APPLICANT,Inheritance,,Completed,1.5,
20187012253,Service closure Request with network responsibility,2018-07-31 10:47:25,2018-07-31 10:48:14.000,,APPLICANT,Inheritance,,Completed,2.1,
20187012253,Authorization Requested,2018-07-31 10:48:14,2018-07-31 18:02:32.000,448,DIRECTOR,Inheritance,,Completed,4.91,
20187012253,Service closure Request with BO responsibility,2018-07-31 18:02:32,2018-08-21 11:38:15.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20188000260,Request created,2018-08-01 12:36:56,2018-10-17 14:55:22.000,326,APPLICANT,Inheritance,,Completed,1.5,
20188000318,Request created,2018-08-01 13:22:39,2018-08-01 13:23:16.000,28,APPLICANT,Porting,,Completed,1.5,
20188000318,Pending Request for Network Information,2018-08-01 13:23:16,2018-09-13 17:07:48.000,332,APPLICANT,Porting,,Completed,2.1,
20187004988,Authorization Requested,2018-08-02 11:14:40,2018-08-02 11:15:45.000,43,DIRECTOR,Inheritance,,Completed,4.91,
20187004988,Service closure Request with BO responsibility,2018-08-02 11:15:45,2018-09-13 14:43:58.000,BOF,BACK-OFFICE,Inheritance,,Completed,5.71,
20187004300,Service closure Request with network responsibility,2018-08-03 11:59:12,2018-08-03 12:00:20.000,220,APPLICANT,Client Recess,1 - Client lost,Completed,16.6,
20187004300,Service closure Request with BO responsibility,2018-08-03 12:00:20,2018-08-16 15:57:11.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,17.400000000000002,
20188001938,Request created,2018-08-06 10:32:03,2018-08-06 10:32:32.000,408,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20188001938,Service closure Request with network responsibility,2018-08-06 10:32:32,2018-08-06 10:34:29.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20188001938,Authorization Requested,2018-08-06 10:34:29,2018-10-25 11:03:34.000,224,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91,
20188002694,Request created,2018-08-07 15:16:42,2018-08-07 15:18:18.000,350,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188002694,Evaluating Request (NO registered letter),2018-08-07 15:18:18,2018-08-07 15:24:14.000,465,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20188002694,Service closure Request with network responsibility,2018-08-07 15:28:42,2018-08-07 15:31:40.000,465,APPLICANT,Client Recess,1 - Client lost,Completed,16.6,
20188002694,Service closure Request with BO responsibility,2018-08-07 15:31:40,2018-09-14 16:42:23.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,17.400000000000002,
20188003820,Request created,2018-08-09 09:43:30,2018-08-09 09:45:00.000,392,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
20188003820,Service closure Request with network responsibility,2018-08-09 09:45:00,2018-08-09 09:51:08.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20188003829,Request created,2018-08-09 10:04:48,2018-08-09 10:05:33.000,89,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
20188003829,Service closure Request with network responsibility,2018-08-09 10:05:33,2018-08-09 10:07:03.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20188003829,Authorization Requested,2018-08-09 10:07:03,2018-08-10 13:22:43.000,417,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.91,
20188003820,Authorization Requested,2018-08-09 15:33:50,2018-08-09 15:35:06.000,328,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.91,
20188003820,Service closure Request with BO responsibility,2018-08-09 15:35:06,2018-09-11 12:25:00.000,BOF,BACK-OFFICE,Client Recess,2 - Keep bank account. Same dip,Completed,5.71,
20188003829,Service closure Request with BO responsibility,2018-08-10 13:22:43,2018-09-11 17:27:53.000,BOF,BACK-OFFICE,Client Recess,2 - Keep bank account. Same dip,Completed,5.71,
20188004640,Request created,2018-08-10 16:09:57,2018-08-14 08:46:16.000,194,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,1.5,
20188005001,Request created,2018-08-13 14:59:37,2018-08-13 15:02:15.000,437,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188005001,Evaluating Request (WITH registered letter),2018-08-13 15:02:15,2018-08-20 09:25:54.000,268,DIRECTOR,Client Recess,1 - Client lost,Completed,11.31,
20188004640,Service closure Request with network responsibility,2018-08-14 08:46:16,2018-09-03 13:02:06.000,,APPLICANT,Client Recess,4 - Open new bank account. Same dip,Completed,2.1,
20188005549,Request created,2018-08-16 11:43:37,2018-08-16 11:44:05.000,349,APPLICANT,Porting,,Completed,1.5,
20187004300,Pending Request for Reservation Closure,2018-08-16 15:57:11,2018-08-16 15:59:34.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,18.200000000000006,
20187004300,Pending Liquidation Request,2018-08-16 15:59:34,2018-09-29 03:10:41.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,19.000000000000004,
20188005901,Request created,2018-08-17 10:47:42,2018-08-17 11:01:10.000,79,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188005901,Evaluating Request (NO registered letter),2018-08-17 11:01:10,2018-09-03 09:28:22.000,537,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20188006713,Request created,2018-08-20 13:11:06,2018-08-20 13:13:36.000,50,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,1.5,
20188006713,Service closure Request with network responsibility,2018-08-20 13:13:36,2018-08-20 13:15:24.000,,APPLICANT,Client Recess,2 - Keep bank account. Same dip,Completed,2.1,
20188006713,Authorization Requested,2018-08-20 13:15:24,2018-09-04 10:03:45.000,455,DIRECTOR,Client Recess,2 - Keep bank account. Same dip,Completed,4.91,
20188006762,Request created,2018-08-20 14:57:20,2018-08-20 14:58:39.000,336,APPLICANT,Porting,,Completed,1.5,
20188006762,Pending Request for Network Information,2018-08-20 14:58:39,2018-09-11 12:50:15.000,332,APPLICANT,Porting,,Completed,2.1,
20188007049,Request created,2018-08-21 11:19:08,2018-08-21 11:19:29.000,496,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20188007049,Service closure Request with network responsibility,2018-08-21 11:19:29,2018-08-21 11:22:03.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20188007049,Authorization Requested,2018-08-21 11:22:03,2018-08-21 11:24:59.000,395,DIRECTOR,Bank Recess,1 - Client lost,Completed,4.91,
20188007049,Service closure Request with BO responsibility,2018-08-21 11:24:59,2018-08-24 10:10:09.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,5.71,
20188007059,Request created,2018-08-21 11:27:25,2018-09-03 16:07:41.000,559,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20187012253,Network Adjustment Requested,2018-08-21 11:38:15,2018-10-10 17:02:25.000,448,APPLICANT,Inheritance,,Completed,6.31,
20187009016,Network Adjustment Requested,2018-08-22 09:29:20,2018-08-23 10:02:35.000,327,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,18.000000000000004,
20188008157,Request created,2018-08-23 12:52:52,2018-08-23 12:53:08.000,62,APPLICANT,Bank Recess,1 - Client lost,Completed,1.5,
20188008157,Service closure Request with network responsibility,2018-08-23 12:53:08,2018-09-06 15:58:56.000,,APPLICANT,Bank Recess,1 - Client lost,Completed,2.1,
20187009016,Service closure Request with BO responsibility,2018-08-23 15:59:38,2018-09-10 09:37:58.000,BOF,BACK-OFFICE,Client Recess,7 - Keep other relationships. Same dip,Completed,18.800000000000004,
20188008360,Request created,2018-08-24 09:30:10,2018-08-24 09:30:49.000,397,APPLICANT,Client Recess,7 - Keep other relationships. Same dip,Completed,1.5,
20188008360,Evaluating Request (NO registered letter),2018-08-24 09:30:49,2018-09-26 09:29:41.000,254,DIRECTOR,Client Recess,7 - Keep other relationships. Same dip,Completed,16.0,
20188007049,Pending Request for Reservation Closure,2018-08-24 10:10:09,2018-08-24 10:11:52.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,6.51,
20188007049,Pending Liquidation Request,2018-08-24 10:11:52,2018-10-09 03:07:56.000,BOF,BACK-OFFICE,Bank Recess,1 - Client lost,Completed,7.31,
20188008753,Request created,2018-08-27 09:12:23,2018-08-27 09:16:32.000,232,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188008753,Evaluating Request (NO registered letter),2018-08-27 09:16:32,2018-08-27 11:45:22.000,129,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20188008894,Request created,2018-08-27 10:58:05,2018-08-27 10:58:17.000,332,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188008894,Evaluating Request (NO registered letter),2018-08-27 10:58:17,2018-09-03 09:03:33.000,515,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20188008961,Request created,2018-08-27 11:43:02,2018-09-03 14:39:06.000,41,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188009018,Request created,2018-08-27 12:38:51,2018-08-27 12:39:18.000,397,APPLICANT,Client Recess,1 - Client lost,Completed,1.5,
20188009018,Evaluating Request (NO registered letter),2018-08-27 12:39:18,2018-08-27 12:41:13.000,163,DIRECTOR,Client Recess,1 - Client lost,Completed,16.0,
20188009018,Service closure Request with network responsibility,2018-08-27 12:43:55,2018-08-27 12:48:24.000,163,APPLICANT,Client Recess,1 - Client lost,Completed,16.6,
20188009018,Service closure Request with BO responsibility,2018-08-27 12:48:24,2018-09-12 14:04:36.000,BOF,BACK-OFFICE,Client Recess,1 - Client lost,Completed,17.400000000000002,
20188009240,Request created,2018-08-27 16:49:59,2018-08-27 16:51:21.000,331,APPLICANT,Inheritance,,Completed,1.5,
